<hes>	a:6
yat1daai6ba2	j 6 t1 d a:j6 b a:2
yat1daai6jou2	j 6 t1 d a:j6 dz ow2
yat1daai6baan1	j 6 t1 d a:j6 b a: n1
yat1tau4yat1mei5	j 6 t1 t 6w4 j 6 t1 m ej5
yat1je2	j 6 t1 dz E:2
yat1ding6	j 6 t1 d i: N6
yat1sat1	j 6 t1 s 6 t1
yat1ga1	j 6 t1 g a:1
yat1ga1yan4	j 6 t1 g a:1 j 6 n4
yat1ga1daai6sai3	j 6 t1 g a:1 d a:j6 s 6j3
yat1siu2bun3	j 6 t1 s iw2 b u: n3
yat1chang4	j 6 t1 ts 6 N4
yat1si5daam6saam1heui1	j 6 t1 s i:5 d a: m6 s a: m1 h 9y1
yat1daai3	j 6 t1 d a:j3
yat1lin4gei1	j 6 t1 l i: n4 g ej1
yat1lin4bun3joi2	j 6 t1 l i: n4 b u: n3 dz O:j2
yat1lin4kap1	j 6 t1 l i: n4 k 6 p1
yat1hoi1tau4	j 6 t1 h O:j1 t 6w4
yat1hoi1pin1	j 6 t1 h O:j1 p i: n1
yat1jeung1	j 6 t1 dz 9: N1
yat1leut6dyun2tou4	j 6 t1 l 9: t6 d y: n2 t ow4
yat1dak1lou6	j 6 t1 d 6 k1 l ow6
yat1sam1yat1yi3	j 6 t1 s 6 m1 j 6 t1 j i:3
yat1sau2	j 6 t1 s 6w2
yat1gei6pong4san1	j 6 t1 g ej6 p O: N4 s 6 n1
yat1ja1ja1	j 6 t1 dz a:1 dz a:1
yat1on3	j 6 t1 O: n3
yat1ji1	j 6 t1 dz i:1
yat1jing2	j 6 t1 dz i: N2
yat1yu1	j 6 t1 j y:1
yat1juk6	j 6 t1 dz u: k6
yat1yat6	j 6 t1 j 6 t6
yat1yat6saam1chaan1	j 6 t1 j 6 t6 s a: m1 ts a: n1
yat1yat6dou3haak1	j 6 t1 j 6 t6 d ow3 h a: k1
yat1yat6fun2	j 6 t1 j 6 t6 f u: n2
yat1yat6yau4	j 6 t1 j 6 t6 j 6w4
yat1yat6ji1	j 6 t1 j 6 t6 dz i:1
yat1jou2	j 6 t1 dz ow2
yat1si4	j 6 t1 s i:4
yat1si4yat1jan6	j 6 t1 s i:4 j 6 t1 dz 6 n6
yat1si4gaan1	j 6 t1 s i:4 g a: n1
yat1maan5ye2	j 6 t1 m a: n5 j E:2
yat1yut6	j 6 t1 j y: t6
yat1yut6fan6	j 6 t1 j y: t6 f 6 n6
yat1yut6dai2	j 6 t1 j y: t6 d 6j2
yat1mong6hei2san1	j 6 t1 m O: N6 h ej2 s 6 n1
yat1jiu1jou2	j 6 t1 dz iw1 dz ow2
yat1do2do2	j 6 t1 d O:2 d O:2
yat1tiu4	j 6 t1 t iw4
yat1tiu4tiu4	j 6 t1 t iw4 t iw4
yat1tiu4lung4	j 6 t1 t iw4 l u: N4
yat1loi4	j 6 t1 l O:j4
yat1bui1	j 6 t1 b u:j1
yat1cheung1jik1jung3	j 6 t1 ts 9: N1 dz i: k1 dz u: N3
yat1yeung6	j 6 t1 j 9: N6
yat1gaak3gaak3	j 6 t1 g a: k3 g a: k3
yat1tai1leung5wu6	j 6 t1 t 6j1 l 9: N5 w u:6
yat1lau5	j 6 t1 l 6w5
yat1mou2yat1yeung6	j 6 t1 m ow2 j 6 t1 j 9: N6
yat1chi3	j 6 t1 ts i:3
yat1chi3sing3	j 6 t1 ts i:3 s i: N3
yat1chi3go3	j 6 t1 ts i:3 g O:3
yat1bou6	j 6 t1 b ow6
yat1bou6bou6	j 6 t1 b ow6 b ow6
yat1mou5	j 6 t1 m ow5
yat1hei3	j 6 t1 h ej3
yat1lau4	j 6 t1 l 6w4
yat1jam3	j 6 t1 dz 6 m3
yat1yin4ji1hau6	j 6 t1 j i: n4 dz i:1 h 6w6
yat1baan1yau5	j 6 t1 b a: n1 j 6w5
yat1sang1	j 6 t1 s 6 N1
yat1bei2	j 6 t1 b ej2
yat1baak3	j 6 t1 b a: k3
yat1baak3maan6	j 6 t1 b a: k3 m a: n6
yat1baak3gei1	j 6 t1 b a: k3 g ej1
yat1pun4	j 6 t1 p u: n4
yat1jik6	j 6 t1 dz i: k6
yat1aan5	j 6 t1 a: n5
yat1bong6	j 6 t1 b O: N6
yat1jung2	j 6 t1 dz u: N2
yat1jung2jung2	j 6 t1 dz u: N2 dz u: N2
yat1ching4	j 6 t1 ts i: N4
yat1chyun1	j 6 t1 ts y: n1
yat1seung1seung1	j 6 t1 s 9: N1 s 9: N1
yat1lap1lap1	j 6 t1 l 6 p1 l 6 p1
yat1hai6	j 6 t1 h 6j6
yat1hai6gong2	j 6 t1 h 6j6 g O: N2
yat1kap1	j 6 t1 k 6 p1
yat1kap1kap1	j 6 t1 k 6 p1 k 6 p1
yat1sin3	j 6 t1 s i: n3
yat1jou2	j 6 t1 dz ow2
yat1geuk3	j 6 t1 g 9: k3
yat1bun1	j 6 t1 b u: n1
yat1bun1bun1	j 6 t1 b u: n1 b u: n1
yat1lok6	j 6 t1 l O: k6
yat1gin3jung1ching4	j 6 t1 g i: n3 dz u: N1 ts i: N4
yat1gong2	j 6 t1 g O: N2
yat1hei2	j 6 t1 h ej2
yat1lou6	j 6 t1 l ow6
yat1san1	j 6 t1 s 6 n1
yat1san1seung6	j 6 t1 s 6 n1 s 9: N6
yat1leun4	j 6 t1 l 9: n4
yat1chap1	j 6 t1 ts 6 p1
yat1bin1	j 6 t1 b i: n1
yat1lin4lok6	j 6 t1 l i: n4 l O: k6
yat1tung1yat1	j 6 t1 t u: N1 j 6 t1
yat1yu6dou2	j 6 t1 j y:6 d ow2
yat1pin3	j 6 t1 p i: n3
yat1pin3sei2jik6	j 6 t1 p i: n3 s ej2 dz i: k6
yat1bou6fan6	j 6 t1 b ow6 f 6 n6
yat1ye5	j 6 t1 j E:5
yat1wok6paau1	j 6 t1 w O: k6 p a:w1
yat1gaan1	j 6 t1 g a: n1
yat1jan6	j 6 t1 dz 6 n6
yat1jan6ha5	j 6 t1 dz 6 n6 h a:5
yat1jan6jai2	j 6 t1 dz 6 n6 dz 6j2
yat1jan6sin1	j 6 t1 dz 6 n6 s i: n1
yat1jan6ji2	j 6 t1 dz 6 n6 dz i:2
yat1jan6ga1	j 6 t1 dz 6 n6 g a:1
yat1jan6gaan1	j 6 t1 dz 6 n6 g a: n1
yat1jan6jan6	j 6 t1 dz 6 n6 dz 6 n6
yat1jan6	j 6 t1 dz 6 n6
yat1jaap6	j 6 t1 dz a: p6
yat1leng4yi6leng4	j 6 t1 l E: N4 j i:6 l E: N4
yat1leng4lin2	j 6 t1 l E: N4 l i: n2
yat1chaan1	j 6 t1 ts a: n1
yat1chaan1faan6	j 6 t1 ts a: n1 f a: n6
yat1chai4	j 6 t1 ts 6j4
yat1chai4chai4	j 6 t1 ts 6j4 ts 6j4
ding1	d i: N1
ding1ding1che1	d i: N1 d i: N1 ts E:1
ding1saang1	d i: N1 s a: N1
chat1	ts 6 t1
chat1chat1	ts 6 t1 ts 6 t1
chat1maan6	ts 6 t1 m a: n6
chat1jung1	ts 6 t1 dz u: N1
chat1yan4	ts 6 t1 j 6 n4
chat1jai2	ts 6 t1 dz 6j2
chat1baat3	ts 6 t1 b a: t3
chat1gung1	ts 6 t1 g u: N1
chat1luk6nin4	ts 6 t1 l u: k6 n i: n4
chat1sap6	ts 6 t1 s 6 p6
chat1a6yat1	ts 6 t1 a:6 j 6 t1
chat1a6chat1	ts 6 t1 a:6 ts 6 t1
chat1a6chat1hou6	ts 6 t1 a:6 ts 6 t1 h ow6
chat1a6saam1	ts 6 t1 a:6 s a: m1
chat1a6gau2	ts 6 t1 a:6 g 6w2
chat1a6yi6	ts 6 t1 a:6 j i:6
chat1a6m5	ts 6 t1 a:6 m5
chat1a6baat3	ts 6 t1 a:6 b a: t3
chat1a6gei2	ts 6 t1 a:6 g ej2
chat1a6gei2seui3	ts 6 t1 a:6 g ej2 s 9y3
chat1chin1	ts 6 t1 ts i: n1
chat1yip6yat1ji1fa1	ts 6 t1 j i: p6 j 6 t1 dz i:1 f a:1
chat1hou6	ts 6 t1 h ow6
chat1tin1	ts 6 t1 t i: n1
chat1tin1yau4	ts 6 t1 t i: n1 j 6w4
chat1je2	ts 6 t1 dz E:2
chat1yi1	ts 6 t1 j i:1
chat1choi2	ts 6 t1 ts O:j2
chat1yat6	ts 6 t1 j 6 t6
chat1sing1aam4	ts 6 t1 s i: N1 a: m4
chat1yut6	ts 6 t1 j y: t6
chat1yut6fan6	ts 6 t1 j y: t6 f 6 n6
chat1lau5	ts 6 t1 l 6w5
chat1baak3	ts 6 t1 b a: k3
chat1hung4	ts 6 t1 h u: N4
maan6	m a: n6
maan6yat1	m a: n6 j 6 t1
maan6yik1	m a: n6 j i: k1
maan6gaai1	m a: n6 g a:j1
maan6gaai1gong2cheung4	m a: n6 g a:j1 g O: N2 ts 9: N4
maan6gei2	m a: n6 g ej2
maan6gei2man1	m a: n6 g ej2 m 6 n1
maan6gok3	m a: n6 g O: k3
maan6sing3jit3	m a: n6 s i: N3 dz i: t3
maan6haak3lung4	m a: n6 h a: k3 l u: N4
maan6ga1lok6	m a: n6 g a:1 l O: k6
maan6hing3leung4	m a: n6 h i: N3 l 9: N4
maan6ok3yam4wai4sau2	m a: n6 O: k3 j 6 m4 w 6j4 s 6w2
maan6gong1	m a: n6 g O: N1
maan6fo1	m a: n6 f O:1
maan6luk6wu4	m a: n6 l u: k6 w u:4
maan6fa1yau4	m a: n6 f a:1 j 6w4
maan6man1	m a: n6 m 6 n1
maan6tung1	m a: n6 t u: N1
jeung6	dz 9: N6
saam1	s a: m1
saam1ei1	s a: m1 ej1
saam1di1	s a: m1 d i:1
saam1ji1	s a: m1 dz i:1
saam1maan6	s a: m1 m a: n6
saam1saam1leng4	s a: m1 s a: m1 l E: N4
saam1ha6waan1	s a: m1 h a:6 w a: n1
saam1jung1	s a: m1 dz u: N1
saam1gau2yi1yun2	s a: m1 g 6w2 j i:1 j y: n2
saam1heung1	s a: m1 h 9: N1
saam1doi6	s a: m1 d O:j6
saam1yun4lei5	s a: m1 j y: n4 l ej5
saam1min5yat1	s a: m1 m i: n5 j 6 t1
saam1gung1	s a: m1 g u: N1
saam1luk6ling4	s a: m1 l u: k6 l i: N4
saam1luk6ling4on1chyun4wai6si6	s a: m1 l u: k6 l i: N4 O: n1 ts y: n4 w 6j6 s i:6
saam1fan1jung1	s a: m1 f 6 n1 dz u: N1
saam1sap6	s a: m1 s 6 p6
saam1a6yat1	s a: m1 a:6 j 6 t1
saam1a6yat1hou6	s a: m1 a:6 j 6 t1 h ow6
saam1a6chat1	s a: m1 a:6 ts 6 t1
saam1a6maan6	s a: m1 a:6 m a: n6
saam1a6saam1	s a: m1 a:6 s a: m1
saam1a6gau2	s a: m1 a:6 g 6w2
saam1a6m5	s a: m1 a:6 m5
saam1sap6fan6	s a: m1 s 6 p6 f 6 n6
saam1a6baat3	s a: m1 a:6 b a: t3
saam1a6luk6	s a: m1 a:6 l u: k6
saam1a6hou6	s a: m1 a:6 h ow6
saam1chin1	s a: m1 ts i: n1
saam1chin1yun4	s a: m1 ts i: n1 j y: n4
saam1yau5	s a: m1 j 6w5
saam1suk1	s a: m1 s u: k1
saam1hou6	s a: m1 h ow6
saam1hou6sin3	s a: m1 h ow6 s i: n3
saam1go1	s a: m1 g O:1
saam1wai4toi4	s a: m1 w 6j4 t O:j4
saam1gok3saat3	s a: m1 g O: k3 s a: t3
saam1daai6lou2	s a: m1 d a:j6 l ow2
saam1tin1	s a: m1 t i: n1
saam1laai5	s a: m1 l a:j5
saam1hou2	s a: m1 h ow2
saam1hou2hok6sang1	s a: m1 h ow2 h O: k6 s 6 N1
saam1mui6	s a: m1 m u:j6
saam1ji2	s a: m1 dz i:2
saam1je2	s a: m1 dz E:2
saam1yi1	s a: m1 j i:1
saam1sam2	s a: m1 s 6 m2
saam1sou2	s a: m1 s ow2
saam1ga1je1	s a: m1 g a:1 dz E:1
saam1siu2	s a: m1 s iw2
saam1seui3	s a: m1 s 9y3
saam1fuk1pei6	s a: m1 f u: k1 p ej6
saam1da2saam1	s a: m1 d a:2 s a: m1
saam1san1	s a: m1 s 6 n1
saam1yat6	s a: m1 j 6 t6
saam1sing1	s a: m1 s i: N1
saam1gang1	s a: m1 g 6 N1
saam1gaang1bun3ye6	s a: m1 g a: N1 b u: n3 j E:6
saam1yut6	s a: m1 j y: t6
saam1yut6fan6	s a: m1 j y: t6 f 6 n6
saam1yut6gei2	s a: m1 j y: t6 g ej2
saam1lau5	s a: m1 l 6w5
saam1seui2	s a: m1 s 9y2
saam1seui2ho4hau2	s a: m1 s 9y2 h O:4 h 6w2
saam1cheng1saan1	s a: m1 ts E: N1 s a: n1
saam1baan1dou2	s a: m1 b a: n1 d ow2
saam1gaap3	s a: m1 g a: p3
saam1baak6jau2	s a: m1 b a: k6 dz 6w2
saam1baak3	s a: m1 b a: k3
saam1dang2	s a: m1 d 6 N2
saam1kap1	s a: m1 k 6 p1
saam1ling4	s a: m1 l i: N4
saam1gok3si5	s a: m1 g O: k3 s i:5
saam1gok3ying4	s a: m1 g O: k3 j i: N4
saam1ji1jing3	s a: m1 dz i:1 dz i: N3
saam1lin4	s a: m1 l i: n4
saam1tung1	s a: m1 t u: N1
saam1lei5	s a: m1 l ej5
saam1gam1	s a: m1 g 6 m1
saam1chaan1	s a: m1 ts a: n1
saam1faan6	s a: m1 f a: n6
saam1wong4sai2jai1	s a: m1 w O: N4 s 6j2 dz 6j1
seung6	s 9: N6
seung6yat1	s 9: N6 j 6 t1
seung6yat1chi3	s 9: N6 j 6 t1 ts i:3
seung6yat1leun4	s 9: N6 j 6 t1 l 9: n4
seung6seung6	s 9: N6 s 9: N6
seung6ha6	s 9: N6 h a:6
seung6ha6kiu1	s 9: N6 h a:6 k iw1
seung6ha6gau2	s 9: N6 h a:6 g 6w2
seung6ha6bo1	s 9: N6 h a:6 b O:1
seung6ha6saan1	s 9: N6 h a:6 s a: n1
seung6ha6mong5	s 9: N6 h a:6 m O: N5
seung6ha6fo3	s 9: N6 h a:6 f O:3
seung5bat1dou3tin1	s 9: N5 b 6 t1 d ow3 t i: n1
seung6gau2lou6	s 9: N6 g 6w2 l ow6
seung6gaau1	s 9: N6 g a:w1
seung5chan1	s 9: N5 ts 6 n1
seung6jyun6	s 9: N6 dz y: n6
seung6dou3	s 9: N6 d ow3
seung5dou3heui3	s 9: N5 d ow3 h 9y3
seung5dou2lai4	s 9: N5 d ow2 l 6j4
seung5dou2on6	s 9: N5 d ow2 O: n6
seung6sing1	s 9: N6 s i: N1
seung6ng5	s 9: N6 N5
seung6ng5baan1	s 9: N6 N5 b a: n1
seung5heui3	s 9: N5 h 9y3
seung5toi4	s 9: N5 t O:j4
seung6si1	s 9: N6 s i:1
seung5diu3	s 9: N5 d iw3
seung6jau1	s 9: N6 dz 6w1
seung6m4seung6	s 9: N6 m4 s 9: N6
seung6m4seung6lai4	s 9: N6 m4 s 9: N6 l 6j4
seung6m4dou3saan1	s 9: N6 m4 d ow3 s a: n1
seung5lei4	s 9: N5 l ej4
seung6bo1	s 9: N6 b O:1
seung6bo1tong4	s 9: N6 b O:1 t O: N4
seung5maai4	s 9: N5 m a:j4
seung5ye6	s 9: N5 j E:6
seung5hou2	s 9: N5 h ow2
seung5hok6	s 9: N5 h O: k6
seung5yun4baan1	s 9: N5 j y: n4 b a: n1
seung5saan1	s 9: N5 s a: n1
seung5gong1jing3	s 9: N5 g O: N1 dz i: N3
seung6chyun1dou2	s 9: N6 ts y: n1 d ow2
seung5jo2	s 9: N5 dz O:2
seung5jo2heui3	s 9: N5 dz O:2 h 9y3
seung5jo2din6si6	s 9: N5 dz O:2 d i: n6 s i:6
seung5jo2che1	s 9: N5 dz O:2 ts E:1
seung5si5	s 9: N5 s i:5
seung5si5gung1si1	s 9: N5 s i:5 g u: N1 s i:1
seung6dai3	s 9: N6 d 6j3
seung6lin2	s 9: N6 l i: n2
seung5dong3	s 9: N5 d O: N3
seung5dak1	s 9: N5 d 6 k1
seung5dak1heui3	s 9: N5 d 6 k1 h 9y3
seung6mei4bok3	s 9: N6 m ej4 b O: k3
seung6sam1	s 9: N6 s 6 m1
seung5paai4	s 9: N5 p a:j4
seung5gan2baan1	s 9: N5 g 6 n2 b a: n1
seung5gan2fo3	s 9: N5 g 6 n2 f O:3
seung5jou2	s 9: N5 dz ow2
seung5jou2baan1	s 9: N5 dz ow2 b a: n1
seung6sing1kei4	s 9: N6 s i: N1 k ej4
seung5ying2	s 9: N5 j i: N2
seung6jau3	s 9: N6 dz 6w3
seung5aan3	s 9: N5 a: n3
seung6kei4	s 9: N6 k ej4
seung5gei1	s 9: N5 g ej1
seung5gei1gin6	s 9: N5 g ej1 g i: n6
seung5lei4	s 9: N5 l ej4
seung5lau4	s 9: N5 l 6w4
seung6chi3	s 9: N6 ts i:3
seung5tyun5si4gaan3	s 9: N5 t y: n5 s i:4 g a: n3
seung6seui2	s 9: N6 s 9y2
seung6seui2kiu4	s 9: N6 s 9y2 k iw4
seung6tong1	s 9: N6 t O: N1
seung5hei3	s 9: N5 h ej3
seung6lau4	s 9: N6 l 6w4
seung6hoi2	s 9: N6 h O:j2
seung6yau4	s 9: N6 j 6w4
seung5fo2	s 9: N5 f O:2
seung6dang1	s 9: N6 d 6 N1
seung5paai4	s 9: N5 p a:j4
seung5baan1	s 9: N5 b a: n1
seung5baan1juk6	s 9: N5 b a: n1 dz u: k6
seung6wa2	s 9: N6 w a:2
seung5yan5	s 9: N5 j 6 n5
seung5baak6baan1	s 9: N5 b a: k6 b a: n1
seung5siu3	s 9: N5 s iw3
seung6laam4	s 9: N6 l a: m4
seung5sin3	s 9: N5 s i: n3
seung5mong5	s 9: N5 m O: N5
seung5mong5ka1	s 9: N5 m O: N5 k a:1
seung5mong5heui3	s 9: N5 m O: N5 h 9y3
seung6hiu3	s 9: N6 h iw3
seung6sik1	s 9: N6 s i: k1
seung6choi3	s 9: N6 ts O:j3
seung6siu1	s 9: N6 s iw1
seung5lok6	s 9: N5 l O: k6
seung5lok6baan1	s 9: N5 l O: k6 b a: n1
seung5gaai1	s 9: N5 g a:j1
seung5jong1	s 9: N5 dz O: N1
seung5fo3	s 9: N5 f O:3
seung5fo3	s 9: N5 f O:3
seung5lou6	s 9: N5 l ow6
seung5che1	s 9: N5 ts E:1
seung6bin1	s 9: N6 b i: n1
seung5go3mong5	s 9: N5 g O:3 m O: N5
seung6faan2	s 9: N6 f a: n2
seung5faan1lei4	s 9: N5 f a: n1 l ej4
seung6jeun3	s 9: N6 dz 9: n3
seung6jeun3sam1	s 9: N6 dz 9: n3 s 6 m1
seung5tau3	s 9: N5 t 6w3
seung6pou3	s 9: N6 p ow3
seung5geng3	s 9: N5 g E: N3
seung6mun4	s 9: N6 m u: n4
seung6min6	s 9: N6 m i: n6
seung6deng2	s 9: N6 d E: N2
seung5gou1	s 9: N5 g ow1
ha6	h a:6
ha6yat1chi3	h a:6 j 6 t1 ts i:3
ha6ha6	h a:6 h a:6
ha6bat1dou3dei6	h a:6 b 6 t1 d ow3 d ej6
ha6gau2lou6	h a:6 g 6w2 l ow6
ha6dai1	h a:6 d 6j1
ha2dou3	h a:2 d ow3
ha6m5	h a:6 m5
ha6m5baan1	h a:6 m5 b a: n1
ha6m5cha4	h a:6 m5 ts a:4
ha6bun3cheung4	h a:6 b u: n3 ts 9: N4
ha6bun3nin4	h a:6 b u: n3 n i: n4
ha6heui3	h a:6 h 9y3
ha6jau1	h a:6 dz 6w1
ha6suk6	h a:6 s u: k6
ha6saan1	h a:6 s a: n1
ha6gong1	h a:6 g O: N1
ha2chyun1dou2	h a:2 ts y: n1 d ow2
ha6jo2baan1	h a:6 dz O:2 b a: n1
ha6ba1	h a:6 b a:1
ha6lin2	h a:6 l i: n2
ha2yi3sik1	h a:2 j i:3 s i: k1
ha6man4	h a:6 m 6 n4
ha6sing1kei4	h a:6 s i: N1 k ej4
ha6jau3	h a:6 dz 6w3
ha6loi4	h a:6 l O:j4
ha6chi3	h a:6 ts i:3
ha6seui2dou6	h a:6 s 9y2 d ow6
ha6waat6	h a:6 w a: t6
ha6baan1	h a:6 b a: n1
ha6baan1mei6	h a:6 b a: n1 m ej6
ha6syun4	h a:6 s y: n4
ha6fo3	h a:6 f O:3
ha6dit3	h a:6 d i: t3
ha6san1	h a:6 s 6 n1
ha6che1	h a:6 ts E:1
ha6joi3	h a:6 dz O:j3
ha6bin1	h a:6 b i: n1
ha6ye5	h a:6 j E:5
ha6pou1	h a:6 p ow1
ha6yu5	h a:6 j y:5
ha6syut3	h a:6 s y: t3
ha6min6	h a:6 m i: n6
ha6lung4waan1	h a:6 l u: N4 w a: n1
bat1	b 6 t1
bat1wai4	b 6 t1 w 6j4
bat1ting4	b 6 t1 t i: N4
bat1ho2	b 6 t1 h O:2
bat1hou2yi3si3	b 6 t1 h ow2 j i:3 s i:3
bat1yu4	b 6 t1 j y:4
bat1lau1	b 6 t1 l 6w1
bat1siu2	b 6 t1 s iw2
bat1sit3yat1gu3	b 6 t1 s i: t3 j 6 t1 g u:3
bat1hang6	b 6 t1 h 6 N6
bat1dak1	b 6 t1 d 6 k1
bat1dak1liu5	b 6 t1 d 6 k1 l iw5
bat1dyun6	b 6 t1 d y: n6
bat1si4	b 6 t1 s i:4
bat1si6	b 6 t1 s i:6
bat1lau4	b 6 t1 l 6w4
bat1lau1	b 6 t1 l 6w1
bat1yung6	b 6 t1 j y: N6
bat1ji1	b 6 t1 dz i:1
bat1kok3ding6sing3	b 6 t1 k O: k3 d i: N6 s i: N3
bat1yi4	b 6 t1 j i:4
bat1leung4	b 6 t1 l 9: N4
bat1gin3	b 6 t1 g i: n3
bat1go3	b 6 t1 g O:3
bat1sik1	b 6 t1 s i: k1
bat1sau3gong1	b 6 t1 s 6w3 g O: N1
bat1man4bat1man6	b 6 t1 m 6 n4 b 6 t1 m 6 n6
yu5	j y:5
yu5jung3bat1tung4	j y:5 dz u: N3 b 6 t1 t u: N4
yu2si4geui1jeun3	j y:2 s i:4 g 9y1 dz 9: n3
chau2	ts 6w2
jyun1	dz y: n1
jyun1yip6	dz y: n1 j i: p6
jyun1yip6yan4si6	dz y: n1 j i: p6 j 6 n4 s i:6
jyun1baat3	dz y: n1 b a: t3
jyun1sing1bun2	dz y: n1 s i: N1 b u: n2
jyun1maai6	dz y: n1 m a:j6
jyun1maai6dim3	dz y: n1 m a:j6 d i: m3
jyun1yun4	dz y: n1 j y: n4
jyun1ga1	dz y: n1 g a:1
jyun1sam1	dz y: n1 s 6 m1
jyun1sam1ji3ji3	dz y: n1 s 6 m1 dz i:3 dz i:3
jyun1kyun4	dz y: n1 k y: n4
jyun1gwai2	dz y: n1 gw 6j2
jyun1haau6	dz y: n1 h a:w6
jyun1jyu3	dz y: n1 dz y:3
jyun1paai4	dz y: n1 p a:j4
jyun1yung6	dz y: n1 j y: N6
jyun1dang1	dz y: n1 d 6 N1
jyun1fo1	dz y: n1 f O:1
jyun1ching4	dz y: n1 ts i: N4
jyun1jik1	dz y: n1 dz i: k1
jyun1ying4	dz y: n1 j i: N4
jyun1che1	dz y: n1 ts E:1
jyun1cheung4	dz y: n1 ts 9: N4
jyun1mun4	dz y: n1 m u: n4
che2	ts E:2
sai3	s 6j3
sai3seung6	s 6j3 s 9: N6
sai3sai3	s 6j3 s 6j3
sai3doi6	s 6j3 d O:j6
sai3wa4	s 6j3 w a:4
sai3bok3	s 6j3 b O: k3
sai3bok3yun2	s 6j3 b O: k3 j y: n2
sai3ga1	s 6j3 g a:1
sai3gaai5	s 6j3 g a:j5
sai3gaai3ji1cheung1	s 6j3 g a:j3 dz i:1 ts 9: N1
sai3gaai3bui1	s 6j3 g a:j3 b u:j1
sai3gaai3kap1	s 6j3 g a:j3 k 6 p1
sai3gei2	s 6j3 g ej2
sai3ging1	s 6j3 g i: N1
sai3mau6	s 6j3 m 6w6
sai3mau6daai6ha6	s 6j3 m 6w6 d a:j6 h a:6
sai3dou6	s 6j3 d ow6
sai3gam2choi3	s 6j3 g 6 m2 ts O:j3
sai3min2	s 6j3 m i: n2
yau1cheung4kwan4	j 6w1 ts 9: N4 kw 6 n4
yip6	j i: p6
yip6jyu2	j i: p6 dz y:2
yip6yu4	j i: p6 j y:4
yip6mou6	j i: p6 m ow6
yip6mou6yun4	j i: p6 m ow6 j y: n4
yip6jik1	j i: p6 dz i: k1
yip6jik1	j i: p6 dz i: k1
yip6jik1	j i: p6 dz i: k1
yip6aak3	j i: p6 a: k3
dung1	d u: N1
dung1dung1	d u: N1 d u: N1
dung1bak1	d u: N1 b 6 k1
dung1bak1saam1saang2	d u: N1 b 6 k1 s a: m1 s a: N2
dung1bak1lou2	d u: N1 b 6 k1 l ow2
dung1bak1mai1	d u: N1 b 6 k1 m 6j1
dung1bak1choi3	d u: N1 b 6 k1 ts O:j3
dung1bak1gun2	d u: N1 b 6 k1 g u: n2
dung1wa4laam4lou6	d u: N1 w a:4 l a: m4 l ow6
dung1wa4lou6	d u: N1 w a:4 l ow6
dung1laam4a3	d u: N1 l a: m4 a:3
dung1naam4sai1bak1	d u: N1 n a: m4 s 6j1 b 6 k1
dung1go1	d u: N1 g O:1
dung1seng2	d u: N1 s E: N2
dung1bou3	d u: N1 b ow3
dung1tai4	d u: N1 t 6j4
dung1ping4ho2	d u: N1 p i: N4 h O:2
dung1saan1	d u: N1 s a: n1
dung1saan1keui1	d u: N1 s a: n1 k 9y1
dung1saan1hau2	d u: N1 s a: n1 h 6w2
dung1saan1heui1	d u: N1 s a: n1 h 9y1
dung1saan1ma5lou6	d u: N1 s a: n1 m a:5 l ow6
dung1sing4sai1jau6	d u: N1 s i: N4 s 6j1 dz 6w6
dung1man2	d u: N1 m 6 n2
dung1fong1	d u: N1 f O: N1
dung1chyun1lou6	d u: N1 ts y: n1 l ow6
dung1chyun1lou6hau2	d u: N1 ts y: n1 l ow6 h 6w2
dung1jaan2	d u: N1 dz a: n2
dung1sa1	d u: N1 s a:1
dung1ho2chung1	d u: N1 h O:2 ts u: N1
dung1bo1	d u: N1 b O:1
dung1pou2	d u: N1 p ow2
dung1chung1	d u: N1 ts u: N1
dung1wu4	d u: N1 w u:4
dung1din6	d u: N1 d i: n6
dung1jaam6	d u: N1 dz a: m6
dung1ji1	d u: N1 dz i:1
dung1gun2	d u: N1 g u: n2
dung1gun2yan4	d u: N1 g u: n2 j 6 n4
dung1gun2toi4	d u: N1 g u: n2 t O:j4
dung1gun2jong1	d u: N1 g u: n2 dz O: N1
dung1gu1	d u: N1 g u:1
dung1hin1seun6	d u: N1 h i: n1 s 9: n6
dung1bin1	d u: N1 b i: n1
dung1bou6	d u: N1 b ow6
dung1mun4	d u: N1 m u: n4
dung1mun4gaai1	d u: N1 m u: n4 g a:j1
dung1fung1	d u: N1 f u: N1
dung1fung1sai1	d u: N1 f u: N1 s 6j1
dung1fung1lou6	d u: N1 f u: N1 l ow6
si1	s i:1
si1chau4	s i:1 ts 6w4
si1mat6	s i:1 m 6 t6
diu1	d iw1
diu1ha2	d iw1 h a:2
leung5	l 9: N5
leung5ji1	l 9: N5 dz i:1
leung5maan6	l 9: N5 m a: n6
leung5maan6yat1	l 9: N5 m a: n6 j 6 t1
leung5saam1nin4	l 9: N5 s a: m1 n i: n4
leung5go3	l 9: N5 g O:3
leung5go3jung1	l 9: N5 g O:3 dz u: N1
leung5jai2ye4	l 9: N5 dz 6j2 j E:4
leung5gung1po2	l 9: N5 g u: N1 p O:2
leung5chin1	l 9: N5 ts i: n1
leung5chin1gau2	l 9: N5 ts i: n1 g 6w2
leung5chin1baat3	l 9: N5 ts i: n1 b a: t3
leung5chin1gei2	l 9: N5 ts i: n1 g ej2
