<hes>	<hes>	a: _6	6 m _6	m _5	ej _6
A	ei1	ej _1
五十三万	ng5sap6saam1maan6	N _5 . s 6 p _6 . s a: m _1 . m a: n _6	m _5 . s 6 p _6 . s a: m _1 . m a: n _6
五十九	ng5sap6gau2	N _5 . s 6 p _6 . g 6w _2	m _5 . s 6 p _6 . g 6w _2
五十二	ng5sap6yi6	N _5 . s 6 p _6 . j i: _6	m _5 . s 6 p _6 . j i: _6
五十二万	ng5sap6yi6maan6	N _5 . s 6 p _6 . j i: _6 . m a: n _6	m _5 . s 6 p _6 . j i: _6 . m a: n _6
五十五	m5sap6m5	m _5 . s 6 p _6 . m _5
五十八	ng5sap6baat3	N _5 . s 6 p _6 . b a: t _3	m _5 . s 6 p _6 . b a: t _3
五十六	ng5sap6luk6	N _5 . s 6 p _6 . l u: k _6	m _5 . s 6 p _6 . l u: k _6
五十六万	ng5sap6luk6maan6	N _5 . s 6 p _6 . l u: k _6 . m a: n _6	m _5 . s 6 p _6 . l u: k _6 . m a: n _6
五十四	m5sap6sei3	m _5 . s 6 p _6 . s ej _3
五十四万	ng5sap6sei3maan6	N _5 . s 6 p _6 . s ej _3 . m a: n _6	m _5 . s 6 p _6 . s ej _3 . m a: n _6
五千	m5chin1	m _5 . ts i: n _1	N _5 . ts i: n _1
五彩缤纷	ng5choi2ban1fan1	N _5 . ts O:j _2 . b 6 n _1 . f 6 n _1	m _5 . ts O:j _2 . b 6 n _1 . f 6 n _1
五日	ng5yat6	N _5 . j 6 t _6	m _5 . j 6 t _6
五月	m5yut6	m _5 . j y: t _6	N _5 . j y: t _6
五百	m5baak3	m _5 . b a: k _3	N _5 . b a: k _3
五角	ng5gok3	N _5 . g O: k _3	m _5 . g O: k _3
亚洲	nga3jau1	N a: _3 . dz 6w _1
些	se1	s E: _1
交	gaau1	g a:w _1
交上	gaau1seung6	g a:w _1 . s 9: N _5	g a:w _1 . s 9: N _6
交住	gaau1jyu6	g a:w _1 . dz y: _6
交叉	gaau1cha1	g a:w _1 . ts a: _1
交往	gaau1wong5	g a:w _1 . w O: N _5
交情	gaau1ching4	g a:w _1 . ts i: N _4
交易	gaau1yik6	g a:w _1 . j i: k _6
交易日	gaau1yik6yat6	g a:w _1 . j i: k _6 . j 6 t _6
交流	gaau1lau4	g a:w _1 . l 6w _4
交警	gaau1ging2	g a:w _1 . g i: N _2
交通	gaau1tung1	g a:w _1 . t u: N _1
亦	yik6	j i: k _6
产品	chaan2ban2	ts a: n _2 . b 6 n _2
产生	chaan2sang1	ts a: n _2 . s 6 N _1
享乐	heung2lok6	h 9: N _2 . l O: k _6
享受	heung2sau6	h 9: N _2 . s 6w _6
享福	heung2fuk1	h 9: N _2 . f u: k _1
京	ging1	g i: N _1
亮	leung6	l 9: N _6
亲	chan1	ts 6 n _1
亲密	chan1mat6	ts 6 n _1 . m 6 t _6
人	yan4	j 6 n _4
人事	yan4si6	j 6 n _4 . s i: _6
人们	yan4mun4	j 6 n _4 . m u: n _4
人员	yan4yun4	j 6 n _4 . j y: n _4
人士	yan4si6	j 6 n _4 . s i: _6
人心	yan4sam1	j 6 n _4 . s 6 m _1
人手	yan4sau2	j 6 n _4 . s 6w _2
人杰地灵	yan4git6dei6leng4	j 6 n _4 . g i: t _6 . d ej _6 . l E: N _4
人民	yan4man4	j 6 n _4 . m 6 n _4
人民币	yan4man4bai6	j 6 n _4 . m 6 n _4 . b 6j _6
人物	yan4mat6	j 6 n _4 . m 6 t _6
人生	yan4sang1	j 6 n _4 . s 6 N _1
人类	yan4leui6	j 6 n _4 . l 9y _6
人质	yan4ji3	j 6 n _4 . dz 6 t _3	j 6 n _4 . dz i: _3
人造	yan4jou3	j 6 n _4 . dz ow _3
人际关系	yan4jai3gwaan1hai6	j 6 n _4 . dz 6j _3 . gw a: n _1 . h 6j _6
亿	yik1	j i: k _1
什么	sam6mo1	s 6 m _6 . m O: _1
仅	gan2	g 6 n _2
仇怨	sau4yun3	s 6w _4 . j y: n _3	ts 6w _4 . j y: n _3
今	gam1	g 6 m _1
今天	gam1tin1	g 6 m _1 . t i: n _1
今年	gam1nin4	g 6 m _1 . l i: n _2	g 6 m _1 . l i: n _4	g 6 m _1 . n i: n _2	g 6 m _1 . n i: n _4
今日	gam1yat6	g 6 m _1 . j 6 t _6
仍	ying4	j i: N _4
仍然	ying4yin4	j i: N _4 . j i: n _4
从	chung4	ts u: N _4
从业员	chung4yip6yun4	ts u: N _4 . j i: p _6 . j y: n _4
从此	chung4chi2	ts u: N _4 . ts i: _2
仓	chong1	ts O: N _1
仔细	ji2sai3	dz i: _2 . s 6j _3
他	ta1	t a: _1
他人	ta1yan4	t a: _1 . j 6 n _4
他们	ta1mun4	t a: _1 . m u: n _4
付	fu6	f u: _6
付出	fu6cheut1	f u: _6 . ts 9: t _1
仙台	sin1toi4	s i: n _1 . t O:j _4
代价	doi6ga3	d O:j _6 . g a: _3
代表	doi6biu2	d O:j _6 . b iw _2
令	ling6	l i: N _6
令人	ling6yan4	l i: N _6 . j 6 n _4
以	yi5	j i: _5
以前	yi5chin4	j i: _5 . ts i: n _4
以及	yi5kap6	j i: _5 . k 6 p _6
以外	yi5ngoi6	j i: _5 . N O:j _6
以度	yi5dou6	j i: _5 . d ow _6
仰	yeung5	j 9: N _5
件	gin6	g i: n _6
价	ga3	g a: _3
价值	ga3jik6	g a: _3 . dz i: k _6
价值观	ga3jik6gun1	g a: _3 . dz i: k _6 . g u: n _1
价格	ga3gaak3	g a: _3 . g a: k _3
任任务	yam6yam6mou6	j 6 m _6 . j 6 m _6 . m ow _6
任何	yam6ho4	j 6 m _6 . h O: _4
任何人	yam6ho4yan4	j 6 m _6 . h O: _4 . j 6 n _4
任务	yam6mou6	j 6 m _6 . m ow _6
任重而道远	yam6jung6yi4dou6yun5	j 6 m _6 . dz u: N _6 . j i: _4 . d ow _6 . j y: n _5
份	fen6	f E: n _6
企	kei5	k ej _5
企业	kei5yip6	k ej _5 . j i: p _6
伊力特	yi1lik6dak6	j i: _1 . l i: k _6 . d 6 k _6
伊宁	yi1ning4	j i: _1 . n i: N _4
伊达政宗	yi1daat6jing3jung1	j i: _1 . d a: t _6 . dz i: N _3 . dz u: N _1
伍	ng5	N _5
众人	jung3yan4	dz u: N _3 . j 6 n _4
众多	jung3do1	dz u: N _3 . d O: _1
优哉游哉	yau1joi1yau4joi1	j 6w _1 . dz O:j _1 . j 6w _4 . dz O:j _1
优惠	yau1wai6	j 6w _1 . w 6j _6	j 6w _1 . w 6j _3
优点	yau1dim2	j 6w _1 . d i: m _2	j 6w _1 . d i: n _2
伙伴	fo2bun6	f O: _2 . b u: n _6
会	wui5	w u:j _5
会对	wui5deui3	w u:j _5 . d 9y _3
会展	wui6jin2	w u:j _6 . dz i: n _2
会议	wui6yi5	w u:j _6 . j i: _5
伟大	wai5daai6	w 6j _5 . d a:j _6
伟明	wai5ming4	w 6j _5 . m i: N _4
伟雄	wai5hung4	w 6j _5 . h u: N _4
传	chyun4	ts y: n _4	dz y: n _6	dz y: n _2
传媒	chyun4mui4	ts y: n _4 . m u:j _4
传递	chyun4dai6	dz y: n _6 . d 6j _6	ts y: n _4 . d 6j _6
伤	seung1	s 9: N _1
伤害	seung1hoi6	s 9: N _1 . h O:j _6
伤者	seung1je2	s 9: N _1 . dz E: _2
伪	ngai6	N 6j _6
估计	gu2gai3	g u: _2 . g 6j _3
伴侣	bun6leui5	b u: n _6 . l 9y _5
伸张	san1jeung1	s 6 n _1 . dz 9: N _1
似乎	chi5fu4	ts i: _5 . f u: _4
但	daan6	d a: n _6
位	wai2	w 6j _2	w 6j _6
位	wai6	w 6j _6
位于	wai6yu1	w 6j _6 . j y: _1
位置	wai6ji3	w 6j _6 . dz i: _3
低	dai1	d 6j _1
住	jyu6	dz y: _6
住宅	jyu6jaak6	dz y: _6 . dz a: k _6
体	tai2	t 6j _2
体会	tai2wui6	t 6j _2 . w u:j _6
体外	tai2ngoi6	t 6j _2 . N O:j _6
体系	tai2hai6	t 6j _2 . h 6j _6
体贴	tai2tip3	t 6j _2 . t i: p _3
何	ho4	h O: _4
何彤彤	ho4tung4tung2	h O: _4 . t u: N _4 . t u: N _2	h O: _4 . t u: N _4 . t u: N _4
何必	ho4bit1	h O: _4 . b i: t _1
何时	ho4si4	h O: _4 . s i: _4
何足挂齿	ho4jeui3gwa3chi2	h O: _4 . dz 9y _3 . gw a: _3 . ts i: _2
余	yu4	j y: _4
佛	fat6	f 6 t _6
佛山	fat6saan1	f 6 t _6 . s a: n _1
佛山市	fat6saan1si5	f 6 t _6 . s a: n _1 . s i: _5
佛罗伦斯	fat6lo4leun4si1	f 6 t _6 . l O: _4 . l 9: n _4 . s i: _1
作	jok3	dz O: k _3
作为	jok3wai4	dz O: k _3 . w 6j _4
作用	jok3yung6	dz O: k _3 . j y: N _6
作者	jok3je2	dz O: k _3 . dz E: _2
你	nei5	n ej _5
佢	keui5	k 9y _5	h 9y _5
佳	gaai1	g a:j _1
使	si5	s i: _5
使用	sai2yung6	s 6j _2 . j y: N _6	s i: _2 . j y: N _6
侍应	si6ying2	s i: _6 . j i: N _2
侍母至孝	si6mou5ji3haau3	s i: _6 . m ow _5 . dz i: _3 . h a:w _3
供应	gung1ying3	g u: N _1 . j i: N _3
依然	yi1yin4	j i: _1 . j i: n _4
依赖	yi1laai6	j i: _1 . l a:j _6
依靠	yi1kaau3	j i: _1 . k a:w _3
侵袭	cham1jaap6	ts 6 m _1 . dz a: p _6
便	bin3	b i: n _3
促进	chuk1jeun3	ts u: k _1 . dz 9: n _3
俗语	juk6yu5	dz u: k _6 . j y: _5
保存	bou2chyun4	b ow _2 . ts y: n _4
保定	bou2ding6	b ow _2 . d i: N _6
保护区	bou2wu6keui1	b ow _2 . w u: _6 . k 9y _1
保持	bou2chi4	b ow _2 . ts i: _4
保留	bou2lau4	b ow _2 . l 6w _4
保证	bou2jing3	b ow _2 . dz i: N _3
保障	bou2jeung3	b ow _2 . dz 9: N _3
信	seun3	s 9: n _3
信任	seun3yam6	s 9: n _3 . j 6 m _6
信心	seun3sam1	s 9: n _3 . s 6 m _1
信念	seun3lim6	s 9: n _3 . l i: m _6	s 9: n _3 . n i: m _6
信息	seun3sik1	s 9: n _3 . s i: k _1
信用	seun3yung6	s 9: n _3 . j y: N _6
信用卡	seun3yung6ka1	s 9: n _3 . j y: N _6 . k a: _1
俩	leung5	l 9: N _5
修	sau1	s 6w _1
俯瞰	fu2ham3	f u: _2 . h 6 m _3
倚重	yi2jung6	j i: _2 . dz u: N _6
借用	je3yung6	dz E: _3 . j y: N _6
借鉴	je3gaam3	dz E: _3 . g a: m _3	dz E: _3 . g a: n _3
借钱	je3chin2	dz E: _3 . ts i: n _2	dz E: _3 . ts i: n _4
值得	jik6dak1	dz i: k _6 . d 6 k _1
倾谈	king1taam4	k i: N _1 . t a: m _4
倾销	king1siu1	k i: N _1 . s iw _1
假期	ga3kei4	g a: _3 . k ej _4
假钞	ga3chaau1	g a: _3 . ts a:w _1
做	jo6	dz O: _6	dz ow _6
做不成	jou6bat1sing4	dz ow _6 . b 6 t _1 . s i: N _4
做事	jou6si6	dz ow _6 . s i: _6
做法	jou6faat3	dz ow _6 . f a: t _3
健全	gin6chyun4	g i: n _6 . ts y: n _4
健康	gin6hong1	g i: n _6 . h O: N _1
偶尔	ngau5yi5	N 6w _5 . j i: _5
偷	tau1	t 6w _1
傅	fu6	f u: _6
傅山乐	fu6saan1lok6	f u: _6 . s a: n _1 . l O: k _6
傅思妤	fu6si1yu4	f u: _6 . s i: _1 . j y: _4
催眠	cheui1min4	ts 9y _1 . m i: n _4
像	jeung6	dz 9: N _6
儿女	yi4neui5	j i: _4 . n 9y _5
儿女自有儿女福	yi4neui5ji6yau6yi4neui5fuk1	j i: _4 . n 9y _5 . dz i: _6 . j 6w _6 . j i: _4 . n 9y _5 . f u: k _1
儿子	yi4ji2	j i: _4 . dz i: _2
元	yun4	j y: n _4
元宵	yun4siu1	j y: n _4 . s iw _1
兄	hing1	h i: N _1
充份	chung1fan6	ts u: N _1 . f 6 n _6
充满	chung1mun5	ts u: N _1 . m u: n _5
充足	chung1juk1	ts u: N _1 . dz u: k _1
先	sin1	s i: n _1
先天	sin1tin1	s i: n _1 . t i: n _1
先生	sin1saang1	s i: n _1 . s a: N _1
先进	sin1jeun3	s i: n _1 . dz 9: n _3
克拉玛依	hak1laai1ma5yi1	h 6 k _1 . l a:j _1 . m a: _5 . j i: _1
免疫	min5yik6	m i: n _5 . j i: k _6
兜兜风	dau1dau1fung1	d 6w _1 . d 6w _1 . f u: N _1
兜搭	dau1daap6	d 6w _1 . d a: p _6
入	yap6	j 6 p _6
入境	yap6ging2	j 6 p _6 . g i: N _2
入球	yap6kau4	j 6 p _6 . k 6w _4
入睡	yap6seui6	j 6 p _6 . s 9y _6
全	chyun4	ts y: n _4
全球	chyun4kau4	ts y: n _4 . k 6w _4
全面	chyun4min6	ts y: n _4 . m i: n _6
八	baat3	b a: t _3
八万	baat3maan6	b a: t _3 . m a: n _6	b a: t _3 . m a: N _6
八五零年	baat3ng5leng4nin4	b a: t _3 . N _5 . l E: N _4 . n i: n _4	b a: t _3 . m _5 . l E: N _4 . n i: n _4
八亿	baat3yik1	b a: t _3 . j i: k _1
八六年	baat3luk6nin4	b a: t _3 . l u: k _6 . n i: n _4
八十	baat3sap6	b a: t _3 . s 6 p _6
八十一万	baat3sap6yat1maan6	b a: t _3 . a: _6 . j 6 t _1 . m a: n _6	b a: t _3 . s 6 p _6 . j 6 t _1 . m a: n _6
八十三	baat3sap6saam1	b a: t _3 . a: _6 . s a: m _1	b a: t _3 . s 6 p _6 . s a: m _1
八十三万	baat3sap6saam1maan6	b a: t _3 . a: _6 . s a: m _1 . m a: n _6	b a: t _3 . s 6 p _6 . s a: m _1 . m a: n _6
八十五万	baat3sap6ng5maan6	b a: t _3 . a: _6 . m _5 . m a: n _6	b a: t _3 . s 6 p _6 . N _5 . m a: n _6	b a: t _3 . s 6 p _6 . m _5 . m a: n _6
八十八	baat3sap6baat3	b a: t _3 . a: _6 . b a: t _3	b a: t _3 . s 6 p _6 . b a: t _3
八十六万	baat3sap6luk6maan6	b a: t _3 . a: _6 . l u: k _6 . m a: n _6	b a: t _3 . s 6 p _6 . l u: k _6 . m a: n _6
八十四	baat3sap6sei3	b a: t _3 . a: _6 . s ej _3	b a: t _3 . s 6 p _6 . s ej _3
八十四万	baat3sap6sei3maan6	b a: t _3 . a: _6 . s ej _3 . m a: n _6	b a: t _3 . s 6 p _6 . s ej _3 . m a: n _6
八千	baat3chin1	b a: t _3 . ts i: n _1
八日	baat3yat6	b a: t _3 . j 6 t _6
八月	baat3yut6	b a: t _3 . j y: t _6
八百	baat3baak3	b a: t _3 . b a: k _3
公元	gung1yun4	g u: N _1 . j y: n _4
公共	gung1gung6	g u: N _1 . g u: N _6
公司	gung1si1	g u: N _1 . s i: _1
公屋	gung1nguk1	g u: N _1 . N u: k _1
公平	gung1ping4	g u: N _1 . p i: N _4
公开	gung1hoi1	g u: N _1 . h O:j _1
公有公理	gung1yau6gung1lei5	g u: N _1 . j 6w _6 . g u: N _1 . l ej _5
公民	gung1man4	g u: N _1 . m 6 n _4
公里	gung1lei5	g u: N _1 . l ej _5
六	luk6	l u: k _6
六万	luk6maan6	l u: k _6 . m a: n _6
六三	luk6saam1	l u: k _6 . s a: m _1
六五年	luk6ng5nin4	l u: k _6 . N _5 . n i: n _4	l u: k _6 . m _5 . n i: n _4
六亿	luk6yik1	l u: k _6 . j i: k _1
六十	luk6sap6	l u: k _6 . s 6 p _6
六十一万	luk6sap6yat1maan6	l u: k _6 . a: _6 . j 6 t _1 . m a: n _6	l u: k _6 . s 6 p _6 . j 6 t _1 . m a: n _6
六十三	luk6sap6saam0	l u: k _6 . a: _6 . s a: m _1	l u: k _6 . s 6 p _6 . s a: m _1
六十五	luk6sap6ng5	l u: k _6 . a: _6 . m _5	l u: k _6 . s 6 p _6 . N _5	l u: k _6 . s 6 p _6 . m _5
六十八	luk6sap6baat3	l u: k _6 . a: _6 . b a: t _3	l u: k _6 . s 6 p _6 . b a: t _3
六十六	luk6sap6luk6	l u: k _6 . s 6 p _6 . l u: k _6
六十六万	luk6sap6luk6maan6	l u: k _6 . a: _6 . l u: k _6 . m a: n _6	l u: k _6 . s 6 p _6 . l u: k _6 . m a: n _6
六千	luk6chin1	l u: k _6 . ts i: n _1
六号	luk6hou6	l u: k _6 . h ow _6
六日	luk6yat6	l u: k _6 . j 6 t _6
六月	luk6yut6	l u: k _6 . j y: t _6
六百	luk6baak3	l u: k _6 . b a: k _3
兰州	laan4jau1	l a: n _4 . dz 6w _1
兰州市	laan4jau1si5	l a: n _4 . dz 6w _1 . s i: _5
兰花	laan4fa1	l a: n _4 . f a: _1
共同	gung6tung4	g u: N _6 . t u: N _4
共有	gung6yau5	g u: N _6 . j 6w _5
共识	gung6sik1	g u: N _6 . s i: k _1
关于	gwaan1yu1	gw a: n _1 . j y: _1
关注	gwaan1jyu3	gw a: n _1 . dz y: _3
关税	gwaan1seui3	gw a: n _1 . s 9y _3
关系	gwaan1hai6	gw a: n _1 . h 6j _6
兴奋	hing1fan5	h i: N _1 . f 6 n _5
兴平市	hing1ping4si5	h i: N _1 . p i: N _4 . s i: _5
兴建	hing1gin3	h i: N _1 . g i: n _3
其	kei4	k ej _4
其他	kei4ta1	k ej _4 . t a: _1
其实	kei4sat6	k ej _4 . s 6 t _6
具	geui6	g 9y _6
具体	geui6tai2	g 9y _6 . t 6j _2
具有	geui6yau5	g 9y _6 . j 6w _5
养成	yeung5sing4	j 9: N _5 . s i: N _4
兽医	sau3yi1	s 6w _3 . j i: _1
冀州	kei3jau1	k ej _3 . dz 6w _1
内	noi6	n O:j _6
内地	noi6dei6	n O:j _6 . d ej _6
冇	mou5	m ow _5
再	joi3	dz O:j _3
再度	joi3dou6	dz O:j _3 . d ow _6
再次	joi3chi3	dz O:j _3 . ts i: _3
再而	joi3yi4	dz O:j _3 . j i: _4
写	se2	s E: _2
写意	se2yi3	s E: _2 . j i: _3
农业	nung4yip6	n u: N _4 . j i: p _6
农历	nung4lik6	n u: N _4 . l i: k _6
农场	nung4cheung4	n u: N _4 . ts 9: N _4
农民	nung4man4	n u: N _4 . m 6 n _4
农资	nung4ji1	n u: N _4 . dz i: _1
农饲料	nung4ji6liu2	n u: N _4 . dz i: _6 . l iw _2
冠	gun3	g u: n _3
冠	gun1	g u: n _1
冠豪	gun1hou4	g u: n _1 . h ow _4	g u: n _3 . h ow _4
冰	bing1	b i: N _1
冲击	chung1gik1	ts u: N _1 . g i: k _1
决策	kyut3chaak3	k y: t _3 . ts a: k _3
冷门	laang5mun2	l a: N _5 . m u: n _2
冷静	laang5jing6	l a: N _5 . dz i: N _6
冷面	laang5min2	l a: N _5 . m i: n _2
净土	jing6tou2	dz i: N _6 . t ow _2
准	jeun2	dz 9: n _2
准入	jeun2yap6	dz 9: n _2 . j 6 p _6
准备	jeun2bei6	dz 9: n _2 . b ej _6
凌晨	ling4san4	l i: N _4 . s 6 n _4
减低	gaam2dai1	g a: m _2 . d 6j _1
减少	gaam2siu2	g a: m _2 . s iw _2
减轻	gaam2heng1	g a: m _2 . h E: N _1
凝结	ying4git3	j i: N _4 . g i: t _3
几	gei1	g ej _1
凡	faan4	f a: n _4
凤城	fung6sing4	f u: N _6 . s i: N _4
凭	pang4	p 6 N _4
凯迪	hoi2dik6	h O:j _2 . d i: k _6
出	chuet1	ts 9: t _1	ts u: E: t _1
出世	cheut1sai3	ts 9: t _1 . s 6j _3
出去	cheut1heui2	ts 9: t _1 . h 9y _2
出口	cheut1hau2	ts 9: t _1 . h 6w _2
出国	cheut1gwok3	ts 9: t _1 . gw O: k _3
出头天	cheut1tau4tin1	ts 9: t _1 . t 6w _4 . t i: n _1
出差	cheut1chaai1	ts 9: t _1 . ts a:j _1
出年	cheut1nin2	ts 9: t _1 . n i: n _2
出来	cheut1loi4	ts 9: t _1 . l O:j _4
出版社	cheut1baan2se5	ts 9: t _1 . b a: n _2 . s E: _5
出现	cheut1yin6	ts 9: t _1 . j i: n _6
出生	cheut1saang1	ts 9: t _1 . s a: N _1
出租车	cheut1jou1che1	ts 9: t _1 . dz ow _1 . ts E: _1
出身	cheut1san1	ts 9: t _1 . s 6 n _1
出门	cheut1mun4	ts 9: t _1 . m u: n _4
击败	gik1baai6	g i: k _1 . b a:j _6
分	fan1	f 6 n _1	f 6 n _6
分之	fan6ji1	f 6 n _6 . dz i: _1	f 6 n _1 . dz i: _1
分享	fan1heung2	f 6 n _1 . h 9: N _2
分别	fan1bit6	f 6 n _1 . b i: t _6
分析	fan1sik1	f 6 n _1 . s i: k _1
分离	fan1lei4	f 6 n _1 . l ej _4
分辨	fan1bin6	f 6 n _1 . b i: n _6
分配	fan1pui3	f 6 n _1 . p u:j _3
分钟	fan1jung1	f 6 n _1 . dz u: N _1
切尔诺贝	chit3yi5nok6bui3	ts i: t _3 . j i: _5 . n O: k _6 . b u:j _3
切尔诺贝核	chit3yi5nok6bui3hat6	ts i: t _3 . j i: _5 . n O: k _6 . b u:j _3 . h 6 t _6
划	wa1	w a: _1
划算	wa1syun3	w a: _1 . s y: n _3	w a: k _6 . s y: n _3
列宁格勒	lit6ning4gaak3laak6	l i: t _6 . l i: N _4 . g a: k _3 . l a: k _6	l i: t _6 . n i: N _4 . g a: k _3 . l a: k _6
刘倍依	lau4pui5yi1	l 6w _4 . p u:j _5 . j i: _1
刘家豪	lau4ga1hou4	l 6w _4 . g a: _1 . h ow _4
刘梦来	lau4mung6loi4	l 6w _4 . m u: N _6 . l O:j _4
刚	gong1	g O: N _1
创业	chong3yip6	ts O: N _3 . j i: p _6
创建	chong3gin3	ts O: N _3 . g i: n _3
创造	chong3jou6	ts O: N _3 . dz ow _6
初	cho1	ts O: _1
初步	cho1bou6	ts O: _1 . b ow _6
初生	cho1saang1	ts O: _1 . s a: N _1	ts O: _1 . s 6 N _1
利	lei6	l ej _6
利润	lei6yeun6	l ej _6 . j 9: n _6
利率	lei6leut2	l ej _6 . l 9: t _2	l ej _6 . l 9: t _6
利用	lei6yung6	l ej _6 . j y: N _6
利益	lei6yik1	l ej _6 . j i: k _1
别	bit6	b i: t _6
别人	bit6yan4	b i: t _6 . j 6 n _4
别墅	bit6seui5	b i: t _6 . s 9y _5	b i: t _6 . s 9y _6
别处	bit6chyu3	b i: t _6 . ts y: _3
别斯兰	bit6si1laan4	b i: t _6 . s i: _1 . l a: n _4
刮目相看	gwaat3muk6seung1hon3	gw a: t _3 . m u: k _6 . s 9: N _1 . h O: n _1	gw a: t _3 . m u: k _6 . s 9: N _1 . h O: n _3
到	dou3	d ow _3
到底	dou3dai2	d ow _3 . d 6j _2
制作	jai3jok3	dz 6j _3 . dz O: k _3
制品	jai3ban2	dz 6j _3 . b 6 n _2
制定	jai3ding6	dz 6j _3 . d i: N _6
制造	jai3jou3	dz 6j _3 . dz ow _3
制造业	jai3jou4yip6	dz 6j _3 . dz ow _4 . j i: p _6
制造商	jai3jou4seung1	dz 6j _3 . dz ow _4 . s 9: N _1
刺激	chi3gik1	ts i: _3 . g i: k _1
刻不容缓	hak1bat1yung4wun6	h 6 k _1 . b 6 t _1 . j y: N _4 . w u: n _4	h 6 k _1 . b 6 t _1 . j y: N _4 . w u: n _6
刻意	hak1yi3	h 6 k _1 . j i: _3
前	chin4	ts i: n _4
前庭	chin4ting4	ts i: n _4 . t i: N _4
前日	chin4yat6	ts i: n _4 . j 6 t _6
前来	chin4loi4	ts i: n _4 . l O:j _4
前题	chin4tai4	ts i: n _4 . t 6j _4
剥	mok1	m O: k _1
剩下	sing6ha6	s i: N _6 . h a: _6
力量	lik6leung6	l i: k _6 . l 9: N _6
办	baan6	b a: n _6
办公室	baan6gung1sat1	b a: n _6 . g u: N _1 . s 6 t _1
办法	baan6faat3	b a: n _6 . f a: t _3
功能	gung1nang4	g u: N _1 . n 6 N _4
加	ga1	g a: _1
加上	ga1seung6	g a: _1 . s 9: N _6
加入	ga1yap6	g a: _1 . j 6 p _6
加剧	ga1kek6	g a: _1 . k E: k _6
加工	ga1gung1	g a: _1 . g u: N _1
加强	ga1keung4	g a: _1 . k 9: N _4
加快	ga1faai3	g a: _1 . f a:j _3
加速	ga1chuk1	g a: _1 . ts u: k _1
动	dung6	d u: N _6
动人	dung6yan4	d u: N _6 . j 6 n _4
动力	dung6lik6	d u: N _6 . l i: k _6
动向	dung6heung3	d u: N _6 . h 9: N _3
动员	dung6yun4	d u: N _6 . j y: n _4
动容	dung6yung4	d u: N _6 . j y: N _4
动工	dung6gung1	d u: N _6 . g u: N _1
动植物	dung6jik6mat6	d u: N _6 . dz i: k _6 . m 6 t _6
动物	dung6mat6	d u: N _6 . m 6 t _6
助	jo6	dz O: _6
努	nou5	n ow _5
努力	nou5lik6	n ow _5 . l i: k _6
劫	gip3	g i: p _3
劳心劳力	lou4sam1lou4lik6	l ow _4 . s 6 m _1 . l ow _4 . l i: k _6
勇敢	yung5gam2	j y: N _5 . g 6 m _2
包括	baau1kut3	b a:w _1 . k u: t _3
匆匆	chung1chung1	ts u: N _1 . ts u: N _1
化工	fa3gung1	f a: _3 . g u: N _1
北京	bak1ging1	b 6 k _1 . g i: N _1
北大荒	bak1daai6fong1	b 6 k _1 . d a:j _6 . f O: N _1
北方	bak1fong1	b 6 k _1 . f O: N _1
区	keui1	k 9y _1	N 6w _1
医护服务	yi1wu6fuk6mou6	j i: _1 . w u: _6 . f u: k _6 . m ow _6
医治	yi1ji6	j i: _1 . dz i: _6
医生	yi1sang1	j i: _1 . s 6 N _1
医院	yi1yun2	j i: _1 . j y: n _2
十	sap6	s 6 p _6
十一	sap6yat1	s 6 p _6 . j 6 t _1
十一万	sap6yat1maan6	s 6 p _6 . j 6 t _1 . m a: n _6
十一世纪	sap6yat1sai3gei2	s 6 p _6 . j 6 t _1 . s 6j _3 . g ej _2
十一号	sap6yat1hou6	s 6 p _6 . j 6 t _1 . h ow _6
十一日	sap6yat1yat6	s 6 p _6 . j 6 t _1 . j 6 t _6
十一月	sap6yat1yut6	s 6 p _6 . j 6 t _1 . j y: t _6
十七	sap6chat1	s 6 p _6 . ts 6 t _1
十七日	sap6chat1yat6	s 6 p _6 . ts 6 t _1 . j 6 t _6
十三	sap6saam1	s 6 p _6 . s a: m _1
十三日	sap6saam1yat6	s 6 p _6 . s a: m _1 . j 6 t _6
十九	sap6gau2	s 6 p _6 . g 6w _2
十九世纪	sap6gau2sai3gei2	s 6 p _6 . g 6w _2 . s 6j _3 . g ej _2
十九日	sap6gau2yat6	s 6 p _6 . g 6w _2 . j 6 t _6
十二	sap6yi6	s 6 p _6 . j i: _6
十二号	sap6yi6hou6	s 6 p _6 . j i: _6 . h ow _6
十二日	sap6yi6yat6	s 6 p _6 . j i: _6 . j 6 t _6
十二月	sap6yi6yut6	s 6 p _6 . j i: _6 . j y: t _6
十五	sap6m5	s 6 p _6 . m _5	s 6 p _6 . N _5
十五亿	sap6ng5yik1	s 6 p _6 . N _5 . j i: k _1	s 6 p _6 . m _5 . j i: k _1
十五号	sap6ng5hou6	s 6 p _6 . N _5 . h ow _6	s 6 p _6 . m _5 . h ow _6
十五日	sap6m5yat6	s 6 p _6 . m _5 . j 6 t _6	s 6 p _6 . N _5 . j 6 t _6
十八	sap6baat3	s 6 p _6 . b a: t _3
十八日	sap6baat3yat6	s 6 p _6 . b a: t _3 . j 6 t _6
十六	sap6luk6	s 6 p _6 . l u: k _6
十六万	sap6luk6maan6	s 6 p _6 . l u: k _6 . m a: n _6
十六日	sap6luk6yat6	s 6 p _6 . l u: k _6 . j 6 t _6
十四	sap6sei3	s 6 p _6 . s ej _3
