ሀም	h1m6	h a m
ተወደድክ	t1w1d1d6k6	t @ . w @ d . d @ . d 1 k
ተወዳዳሪ	t1w1d4d4r3	t @ . w @ . d a . d a . r i
ተወዳድሮ	t1w1d4d6r7	t @ . w @ . d a d . r o
ተወዶ	t1w1d7	t @ . w @ d . d o
ተወጥራ	t1w1T6r4	t @ . w @ t> . t> 1 . r a
ተወጭ	t1w1C6	t @ . w @ tS>
ተዋልዶ	t1w4l6d7	t @ . w a . l 1 . d o	t @ . w a l . d o
ተዋረደች	t1w4r1d1c6	t @ . w a r . r @ . d @ tS tS
ተዋረዳችሁ	t1w4r1d4c6h2	t @ . w a r . r @ . d a tS . tS 1 . h u
ተዋቅሮ	t1w4K6r7	t @ . w a k> . r o
ተዋቸው	t1w4c1w6	t @ . w a tS . tS @ w
ተዋቸውና	t1w4c1w6n4	t @ . w a tS . tS @ . w 1 n . n a
ተዋችሁት	t1w4c6h2t6	t @ . w a tS . tS 1 . h u t
ተዋውቀን	t1w4w6K1n6	t @ . w a w . k> @ n
ተዋውቀው	t1w4w6K1w6	t @ . w a w . k> @ w
ተውሶዋን	t1w6s7w4n6	t @ . w 1 . s o . w a n
ተውሽው	t1w6sh6w6	t @ w . S 1 w
ተውት	t1w6t6	t @ . w 1 t	t @ w . w 1 t
ተውና	t1w6n4	t @ . w 1 n . n a
ተውኝ	t1w6J6	t @ . w 1 J J
ተውከው	t1w6k1w6	t @ w . k @ w
ተውኩኝ	t1w6k2J6	t @ w . k u J J
ተውክ	t1w6k6	t @ w k
ተዘራ	t1z1r4	t @ . z @ r . r a
ተዘጋጀልኝ	t1z1g4j1l6J6	t @ . z @ . g a dZ . dZ @ l . l 1 J J
ተዘጋጀሽ	t1z1g4j1sh6	t @ . z @ . g a dZ . dZ @ S
ተዘጋጅበት	t1z1g4j6b1t6	t @ . z @ . g a . dZ 1 b . b @ t
ተዘጋጅተሀል	t1z1g4j6t1h1l6	t @ . z @ . g a dZ . t @ . h a l
ተዘጋጅተን	t1z1g4j6t1n6	t @ . z @ . g a dZ . t @ n
ተዘጋጅታችሁ	t1z1g4j6t4c6h2	t @ . z @ . g a dZ . t a tS . tS 1 . h u
ተዘጋጅቶ	t1z1g4j6t7	t @ . z @ . g a dZ . t o
ተዘጋጅቻለሁ	t1z1g4j6c4l1h2	t @ . z @ . g a . dZ 1 tS . tS a l . l @ . h u
ተዘጋጅቼአለሁ	t1z1g4j6c5?1l1h2	t @ . z @ . g a . dZ 1 tS . tS e . ? a l . l @ . h u
ተዘጋጅና	t1z1g4j6n4	t @ . z @ . g a . dZ 1 n . n a
ተዘጋግቶ	t1z1g4g6t7	t @ . z @ . g a g . t o
ተዘጋግቶልህ	t1z1g4g6t7l6h6	t @ . z @ . g a g . t o l . l 1 h
ተዘጋግቶብኝ	t1z1g4g6t7b6J6	t @ . z @ . g a g . t o b . b 1 J J
ተዘጋግቷል	t1z1g4g6tw4l6	t @ . z @ . g a g . tw a l
ተዘግተው	t1z1g6t1w6	t @ . z @ g . t @ w
ተዘግቶብኝ	t1z1g6t7b6J6	t @ . z @ g . t o b . b 1 J J
ተዝናኑ	t1z6n4n2	t @ z . n a . n u	t @ z . n a n . n u
ተዝናንተሽ	t1z6n4n6t1sh6	t @ z . n a n . t @ S
ተዝናንተናል	t1z6n4n6t1n4l6	t @ z . n a n . t @ . n a l
ተዝናንተን	t1z6n4n6t1n6	t @ z . n a n . t @ n
ተዝናንታችሁ	t1z6n4n6t4c6h2	t @ z . n a n . t a tS . tS 1 . h u
ተየት	t1y1t6	t @ . j @ t
ተያ	t1y4	t @ . j a
ተያት	t1y4t6	t @ . j a t
ተያቸው	t1y4c1w6	t @ . j a tS . tS @ w
ተያዘና	t1y4z1n4	t @ . j a . z @ n . n a
ተያዩብኝ	t1y4y2b6J6	t @ . j a . j u b . b 1 J J	t @ . j a j . j u b . b 1 J J
ተያያዥ	t1y4y4Z6	t @ . j a . j a Z
ተያያዥነት	t1y4y4Z6n1t6	t @ . j a . j a . Z 1 n . n @ t
ተያይዘን	t1y4y6z1n6	t @ . j a . j 1 . z @ n
ተያይዘው	t1y4y6z1w6	t @ . j a . j 1 . z @ w
ተያይዤዋለሁ	t1y4y6Z5w4l1h2	t @ . j a . j 1 Z . Z e . w a l . l @ . h u
ተይማ	t1y6m4	t @ . j 1 m . m a
ተይኝማ	t1y6J6m4	t @ . j 1 J . J 1 m . m a
ተይዛለች	t1y6z4l1c6	t @ . j 1 . z a l . l @ tS tS
ተይዞለት	t1y6z7l1t6	t @ . j 1 . z o l . l @ t
ተደላድዬ	t1d1l4d6y5	t @ . d @ . l a . d 1 j . j e
ተደረገ	t1d1r1g1	t @ . d @ r . r @ . g @
ተደረገች	t1d1r1g1c6	t @ . d @ r . r @ . g @ tS tS
ተደረግሽ	t1d1r1g6sh6	t @ . d @ r . r @ . g 1 S
ተደረግኩ	t1d1r1g6k2	t @ . d @ r . r @ g . k u
ተደራሽ	t1d1r4sh6	t @ . d @ r . r a S
ተደራሽነቱ	t1d1r4sh6n1t2	t @ . d @ r . r a . S 1 n . n @ . t u
ተደራድረዋልኝ	t1d1r4d6r1w4l6J6	t @ . d @ . r a d . r @ . w a l . l 1 J
ተደራጅቷል	t1d1r4j6tw4l6	t @ . d @ . r a dZ . tw a l
ተደርሶ	t1d1r6s7	t @ . d @ r . s o
ተደርጓል	t1d1r6gw4l6	t @ . d @ r . gw a l
ተደበረችብኝ	t1d1b1r1c6b6J6	t @ . d @ b . b @ . r @ tS . tS 1 b . b 1 J J
ተደብቃ	t1d1b6K4	t @ . d @ b . b 1 . k> a
ተደብቄ	t1d1b6K5	t @ . d @ b . b 1 k> . k> e
ተደብቆም	t1d1b6K7m6	t @ . d @ b . b 1 . k> o m m
ተደነባበርሽ	t1d1n1b4b1r6sh6	t @ . d @ . n @ . b a b . b @ r S
ተደናግጬ	t1d1n4g6C5	t @ . d @ . n a . g 1 tS> . tS> e
ተደንቅሮባቸው	t1d1n6K6r7b4c1w6	t @ . d @ n . k> 1 . r o b . b a tS . tS @ w
ተደዋወሉ	t1d1w4w1l2	t @ . d @ . w a . w @ . l u	t @ . d @ . w a w . w @ . l u
ተደዋወልን	t1d1w4w1l6n6	t @ . d @ . w a w . w @ l n
ተደዋውለናል	t1d1w4w6l1n4l6	t @ . d @ . w a w . l @ . n a l
ተደዋውላችሁ	t1d1w4w6l4c6h2	t @ . d @ . w a w . l a tS . tS 1 . h u
ተደገሰ	t1d1g1s1	t @ . d @ g . g @ . s @
ተደጋፊ	t1d1g4f3	t @ . d @ g . g a . f i
ተደግሶ	t1d1g6s7	t @ . d @ g . g 1 . s o
ተደግፌ	t1d1g6f5	t @ . d @ g . g 1 f . f e
ተጀመረ	t1j1m1r1	t @ . dZ @ m . m @ . r @
ተጀመረና	t1j1m1r1n4	t @ . dZ @ m . m @ . r @ n . n a
ተጀምሮ	t1j1m6r7	t @ . dZ @ m . m 1 . r o
ተጃጃልሺብኝ	t1j4j4l6sh3b6J6	t @ . dZ a . dZ a l . S i b . b 1 J J
ተገላገለ	t1g1l4g1l1	t @ . g @ . l a g . g @ . l @
ተገላገሉ	t1g1l4g1l2	t @ . g @ . l a g . g @ . l u	t @ . g @ . l a . g @ . l u
ተገላገሉት	t1g1l4g1l2t6	t @ . g @ . l a . g @ . l u t	t @ . g @ . l a g . g @ . l u t
ተገላገልሽ	t1g1l4g1l6sh6	t @ . g @ . l a g . g @ l S
ተገላገልኩ	t1g1l4g1l6k2	t @ . g @ . l a g . g @ l . k u
ተገላገልካ	t1g1l4g1l6k4	t @ . g @ . l a g . g @ l . k a
ተገላግለሀል	t1g1l4g6l1h1l6	t @ . g @ . l a g . l @ . h a l
ተገላግለሽዋል	t1g1l4g6l1sh6w4l6	t @ . g @ . l a g . l @ . S 1 . w a l
ተገላግለናል	t1g1l4g6l1n4l6	t @ . g @ . l a g . l @ . n a l
ተገልብጣ	t1g1l6b6T4	t @ . g @ l . b 1 . t> a
ተገልብጦባቸው	t1g1l6b6T7b4c1w6	t @ . g @ l . b 1 . t> o b . b a tS . tS @ w
ተገረመ	t1g1r1m1	t @ . g @ r . r @ . m @
ተገርሜ	t1g1r6m5	t @ . g @ . r 1 m . m e
ተገናኙ	t1g1n4J2	t @ . g @ . n a . J u	t @ . g @ . n a J . J u
ተገናኝ	t1g1n4J6	t @ . g @ . n a J J
ተገናኝተህ	t1g1n4J6t1h6	t @ . g @ . n a J . t @ h
ተገናኝተው	t1g1n4J6t1w6	t @ . g @ . n a J . t @ w
ተገናኝታችኋል	t1g1n4J6t4c6xw4l6	t @ . g @ . n a J . t a tS . tS 1 . hw a l
ተገናኝቻለሁ	t1g1n4J6c4l1h2	t @ . g @ . n a . J 1 tS . tS a l . l @ . h u
ተገኔ	t1g1n5	t @ . g @ . n e
ተገኔን	t1g1n5n6	t @ . g @ . n e n
ተገን	t1g1n6	t @ . g @ n
ተገኘሁ	t1g1J1h2	t @ . g @ J . J @ . h u
ተገኘልሽ	t1g1J1l6sh6	t @ . g @ J . J @ l . l 1 S
ተገኘበት	t1g1J1b1t6	t @ . g @ J . J @ b . b @ t
ተገኝ	t1g1J6	t @ . g @ J
ተገኝተህ	t1g1J6t1h6	t @ . g @ J . J 1 . t @ h
ተገኝታችሁ	t1g1J6t4c6h2	t @ . g @ J . t a tS . tS 1 . h u
ተገኝቷል	t1g1J6tw4l6	t @ . g @ J . tw a l
ተገዛ	t1g1z4	t @ . g @ . z a	t @ . g @ z . z a
ተገዝቶ	t1g1z6t7	t @ . g @ z . t o	t @ . g @ z . z 1 . t o
ተገዝቷል	t1g1z6tw4l6	t @ . g @ z . tw a l	t @ . g @ z . z 1 . tw a l
ተገዥ	t1g1Z6	t @ . g @ Z
ተገዥዎች	t1g1Z6w7c6	t @ . g @ Z . w o tS tS
ተገፎ	t1g1f7	t @ . g @ f . f o
ተጋበዝኩኝ	t1g4b1z6k2J6	t @ . g a b . b @ z . k u J J
ተጋብተው	t1g4b6t1w6	t @ . g a b . t @ w
ተጋብዘህ	t1g4b6z1h6	t @ . g a b . z @ h
ተጋግጧል	t1g4g6Tw4l6	t @ . g a g . t>w a l
ተግባራዊ	t1g6b4r4w3	t @ g . b a . r a . w i
ተግባር	t1g6b4r6	t @ g . b a r
ተግባቢ	t1g6b4b3	t @ g . b a . b i
ተግባብተን	t1g6b4b6t1n6	t @ g . b a b . t @ n
ተጎዱ	t1g7d2	t @ . g o . d u	t @ . g o d . d u
ተጎዳች	t1g7d4c6	t @ . g o d . d a tS tS
ተጎድተዋላ	t1g7d6t1w4l4	t @ . g o d . t @ . w a l . l a
ተጎድታለች	t1g7d6t4l1c6	t @ . g o d . t a l . l @ tS tS
ተጎድቷል	t1g7d6tw4l6	t @ . g o d . tw a l
ተጎድቻለሁ	t1g7d6c4l1h2	t @ . g o . d 1 tS . tS a l . l @ . h u
ተጓዙ	t1gw4z2	t @ . gw a . z u
ተጠራጣሪ	t1T1r4T4r3	t @ . t> @ . r a . t> a . r i
ተጠርተሀል	t1T1r6t1h1l6	t @ . t> @ r . t @ . h a l
ተጠርተው	t1T1r6t1w6	t @ . t> @ r . t @ w
ተጠርታለች	t1T1r6t4l1c6	t @ . t> @ r . t a l . l @ tS tS
ተጠርቻለሁ	t1T1r6c4l1h2	t @ . t> @ . r 1 tS . tS a l . l @ . h u
ተጠቀም	t1T1K1m6	t @ . t> @ . k> @ m
ተጠቀምኩ	t1T1K1m6k2	t @ . t> @ k> . k> @ m . k u
ተጠቃሎ	t1T1K4l7	t @ . t> @ . k> a l . l o
ተጠቃሚ	t1T1K4m3	t @ . t> @ k> . k> a . m i
ተጠቃሚዎቹ	t1T1K4m3w7c2	t @ . t> @ k> . k> a . m i . w o tS . tS u
ተጠቅልዬ	t1T1K6l6y5	t @ . t> @ k> . l 1 j . j e
ተጠቅመህ	t1T1K6m1h6	t @ . t> @ k> . m @ h
ተጠቅመውበታል	t1T1K6m1w6b1t4l6	t @ . t> @ k> . m @ . w 1 b . b @ . t a l
ተጠቅሜ	t1T1K6m5	t @ . t> @ . k> 1 m . m e
ተጠባባቂ	t1T1b4b4K3	t @ . t> @ . b a . b a . k> i
ተጠናቋል	t1T1n4Kw4l6	t @ . t> @ . n a k>w . k>w a l
ተጠያቂ	t1T1y4K3	t @ . t> @ j . j a . k> i
ተጠግተው	t1T1g6t1w6	t @ . t> @ g . g 1 . t @ w
ተጣላሁ	t1T4l4h2	t @ . t> a l . l a . h u
ተጣላሁት	t1T4l4h2t6	t @ . t> a l . l a . h u t
ተጣላን	t1T4l4n6	t @ . t> a l . l a n
ተጣልተሀል	t1T4l6t1h1l6	t @ . t> a l . t @ . h a l
ተጣልተህ	t1T4l6t1h6	t @ . t> a l . t @ h
ተጣልተናል	t1T4l6t1n4l6	t @ . t> a l . t @ . n a l
ተጣልተዋል	t1T4l6t1w4l6	t @ . t> a l . t @ . w a l
ተጣልተውኛል	t1T4l6t1w6J4l6	t @ . t> a l . t @ . w 1 J . J a l
ተጣልተውኝ	t1T4l6t1w6J6	t @ . t> a l . t @ . w 1 J J
ተጣልታ	t1T4l6t4	t @ . t> a l . t a
ተጣልቶ	t1T4l6t7	t @ . t> a l . t o
ተጣልቸዋለሁ	t1T4l6c1w4l1h2	t @ . t> a . l 1 tS . tS @ . w a l . l @ . h u
ተጣልቼ	t1T4l6c5	t @ . t> a . l 1 tS . tS e
ተጣልቼዋለሁ	t1T4l6c5w4l1h2	t @ . t> a . l 1 tS . tS e . w a l . l @ . h u
ተጣልቼው	t1T4l6c5w6	t @ . t> a . l 1 tS . tS e w
ተጣበሱ	t1T4b1s2	t @ . t> a . b @ . s u	t @ . t> a b . b @ . s u
ተጣበናል	t1T4b1n4l6	t @ . t> a b . b @ . n a l
ተጣድፈናል	t1T4d6f1n4l6	t @ . t> a d . f @ . n a l
ተጣድፈዋል	t1T4d6f1w4l6	t @ . t> a d . f @ . w a l
ተጥሏል	t1T6lw4l6	t @ . t> 1 . lw a l
ተጨማሪም	t1C1m4r3m6	t @ . tS> @ m . m a . r i m m
ተጨምረህ	t1C1m6r1h6	t @ . tS> @ m . m 1 . r @ h
ተጨባጭ	t1C1b4C6	t @ . tS> @ b . b a tS>
ተጨብጭቦላታል	t1C1b6C6b7l4t4l6	t @ . tS> @ b . tS> 1 . b o l . l a . t a l
ተጨናብሶ	t1C1n4b6s7	t @ . tS> @ . n a b . s o
ተጨናነቀች	t1C1n4n1K1c6	t @ . tS> @ . n a n . n @ . k> @ tS tS
ተጨናንቄ	t1C1n4n6K5	t @ . tS> @ . n a . n 1 k> . k> e
ተጨንቀሽ	t1C1n6K1sh6	t @ . tS> @ n . k> @ S
ተጨንቀን	t1C1n6K1n6	t @ . tS> @ n . k> @ n
ተጨዋቾቹ	t1C1w4c7c2	t @ . tS> @ . w a tS . tS o tS . tS u
ተጨዋቾች	t1C1w4c7c6	t @ . tS> @ . w a tS . tS o tS tS
ተጨዋወትን	t1C1w4w1t6n6	t @ . tS> @ . w a w . w @ . t 1 n
ተጨዋውተን	t1C1w4w6t1n6	t @ . tS> @ . w a w . t @ n
ተጫኚ	t1C4J3	t @ . tS> a . J i
ተጫወት	t1C4w1t6	t @ . tS> a . w @ t
ተጫወትኩ	t1C4w1t6k2	t @ . tS> a w . w @ t . k u
ተጫወትኩኝ	t1C4w1t6k2J6	t @ . tS> a w . w @ t . k u J J
ተጫወትክ	t1C4w1t6k6	t @ . tS> a w . w @ . t 1 k
ተጫወቺ	t1C4w1c3	t @ . tS> a . w @ . tS i
ተጫዋች	t1C4w4c6	t @ . tS> a . w a tS
ተጫውተን	t1C4w6t1n6	t @ . tS> a w . t @ n
ተጫውተንበት	t1C4w6t1n6b1t6	t @ . tS> a w . t @ . n 1 b . b @ t
ተጫውቼ	t1C4w6c5	t @ . tS> a . w 1 tS . tS e
ተጭሯል	t1C6rw4l6	t @ tS> . rw a l
ተጭነህ	t1C6n1h6	t @ . tS> 1 . n @ h
ተጸልዮላት	t1S1l6y7l4t6	t @ . s> @ l . l 1 . j o l . l a t
ተጽፎ	t1S6f7	t @ . s> 1 . f o
ተፅእኖ	t1tz6?6n7	t @ . s> 1 . ? 1 . n o
ተፅዕኖ	t1tz6;6n7	t @ s> . ? 1 . n o
ተፅዕኖዎች	t1tz6;6n7w7c6	t @ . s> 1 ? . n o . w o tS tS
ተፈላስፈውብህ	t1f1l4s6f1w6b6h6	t @ . f @ . l a s . f @ . w 1 b . b 1 h
ተፈላጊ	t1f1l4g3	t @ . f @ l . l a . g i
ተፈልገሀል	t1f1l6g1h1l6	t @ . f @ l . l 1 . g @ . h a l
ተፈልጎ	t1f1l6g7	t @ . f @ l . l 1 . g o
ተፈልጎላት	t1f1l6g7l4t6	t @ . f @ l . l 1 . g o l . l a t
ተፈልፍለው	t1f1l6f6l1w6	t @ . f @ l . f 1 . l @ w
ተፈልፍሎ	t1f1l6f6l7	t @ . f @ l . f 1 . l o
ተፈረደበት	t1f1r1d1b1t6	t @ . f @ r . r @ . d @ b . b @ t
ተፈሪ	t1f1r3	t @ . f @ . r i
ተፈሪም	t1f1r3m6	t @ . f @ . r i m m
ተፈቀደ	t1f1K1d1	t @ . f @ k> . k> @ . d @
ተፈቅዶላቸዋል	t1f1K6d7l4c1w4l6	t @ . f @ k> . d o l . l a tS . tS @ . w a l
ተፈቅዶልኛል	t1f1K6d7l6J4l6	t @ . f @ k> . d o l . l 1 J . J a l
ተፈቅዷል	t1f1K6dw4l6	t @ . f @ k> . dw a l
ተፈተነች	t1f1t1n1c6	t @ . f @ t . t @ . n @ tS tS
ተፈተናችሁ	t1f1t1n4c6h2	t @ . f @ t . t @ . n a tS . tS 1 . h u
ተፈተን	t1f1t1n6	t @ . f @ t . t @ n	t @ . f @ t . t @ n n	t @ . f @ . t @ n
ተፈተንን	t1f1t1n6n6	t @ . f @ t . t @ . n 1 n
ተፈታ	t1f1t4	t @ . f @ t . t a
ተፈታላት	t1f1t4l4t6	t @ . f @ t . t a l . l a t	t @ . f @ . t a l . l a t
ተፈታኞች	t1f1t4J7c6	t @ . f @ t . t a J . J o tS tS
ተፈትነው	t1f1t6n1w6	t @ . f @ t . t 1 . n @ w
ተፈትናችኋል	t1f1t6n4c6xw4l6	t @ . f @ t . t 1 . n a tS . tS 1 . hw a l
ተፈትኖ	t1f1t6n7	t @ . f @ t . t 1 . n o
ተፈትኗል	t1f1t6nw4l6	t @ . f @ t . t 1 . nw a l
ተፈትኜ	t1f1t6J5	t @ . f @ t . t 1 J . J e
ተፈቶ	t1f1t7	t @ . f @ t . t o
ተፈቷል	t1f1tw4l6	t @ . f @ tw . tw a l
ተፈንግሎ	t1f1n6g6l7	t @ . f @ n . g 1 . l o
ተፈጠረ	t1f1T1r1	t @ . f @ t> . t> @ . r @
ተፈጥረሽ	t1f1T6r1sh6	t @ . f @ t> . r @ S
ተፈጥሮ	t1f1T6r7	t @ . f @ t> . r o
ተፋሽ	t1f4sh6	t @ f . f a S
ተፋቱን	t1f4t2n6	t @ . f a . t u n	t @ . f a t . t u n
ተፋታሁ	t1f4t4h2	t @ . f a t . t a . h u
ተፋታሽው	t1f4t4sh6w6	t @ . f a t . t a . S 1 w
ተፍቷል	t1f6tw4l6	t @ f . tw a l
ተፍዬ	t1f6y5	t @ . f 1 j . j e
ቱልቱላ	t2l6t2l4	t u l . t u l . l a
ቱሪናፋ	t2r3n4f4	t u . r i . n a . f a
ቱር	t2r6	t u r
ቱርኩ	t2r6k2	t u r . k u
ቱርክ	t2r6k6	t u r k
ቱቦ	t2b7	t u b . b o
ቱቦው	t2b7w6	t u b . b o w
ቱቦውን	t2b7w6n6	t u b . b o . w 1 n
ቱን	t2n6	t u n
ቱደይ	t2d1y6	t u . d @ j
ቲ_ቪ	t3_v3	t i # v i
ቲ_ቪና	t3_v3n4	t i # v i n . n a
ቲ_ኦ_ቲ	t3_?7_t3	t i # ? o # t i
ቲ_ኦ_ቲውም	t3_?7_t3w6m6	t i # ? o # t i . w 1 m m
ቲሙ	t3m2	t i . m u
ቲሞቹ	t3m7c2	t i . m o tS . tS u
ቲሞችም	t3m7c6m6	t i . m o tS . tS 1 m
ቲቲ	t3t3	t i t . t i
ቲቲን	t3t3n6	t i t . t i n
ቲቲዬ	t3t3y5	t i t . t i j . j e
ቲና	t3n4	t i . n a
ቲክነሱ	t3k6n1s2	t i k . n @ . s u
ቲያንስ	t3y4n6s6	t i . j a n s
ቲያወሩ	t3y4w1r2	t i . j a . w @ . r u
ቲዮታ	t3y7t4	t i . j o . t a
ቲጂና	t3j3n4	t i . dZ i n . n a
ቲጂዬ	t3j3y5	t i . dZ i j . j e
ታሁን	t4h2n6	t a . h u n
ታህሳስ	t4h6s4s6	t a h . s a s
ታላላቅ	t4l4l4K6	t a . l a l . l a k>
ታላላቆቻችንን	t4l4l4K7c4c6n6n6	t a . l a l . l a . k> o tS . tS a tS . tS 1 . n 1 n
ታላላቆች	t4l4l4K7c6	t a . l a l . l a . k> o tS tS
ታላቅ	t4l4K6	t a l . l a k>
ታላቅሽ	t4l4K6sh6	t a l . l a . k> 1 S	t a l . l a k> . k> 1 S
ታላቅነት	t4l4K6n1t6	t a l . l a . k> 1 n . n @ t
ታልበቃኝ	t4l6b1K4J6	t a l . b @ k> . k> a J J
ታልተመዘገብኩ	t4l6t1m1z1g1b6k2	t a l . t @ . m @ . z @ g . g @ b . k u
ታልፊያለሽ	t4l6f3y4l1sh6	t a l . f i . j a l . l @ S
ታልፋለህ	t4l6f4l1h6	t a l . f a l . l @ h
ታመለክታለህ	t4m1l1k6t4l1h6	t a . m @ . l @ k . k 1 . t a l . l @ h
ታመላልሰዋለህ	t4m1l4l6s1w4l1h6	t a m . m @ . l a l . l 1 . s @ . w a l . l @ h
ታመመ	t4m1m1	t a m . m @ . m @
ታመሻለህ	t4m1sh4l1h6	t a . m @ . S a l . l @ h
ታመው	t4m1w6	t a m . m @ w
ታመጣለች	t4m1T4l1c6	t a . m @ . t> a l . l @ tS tS
ታመጣልኛለሀ	t4m1T4l6J4l1h1	t a . m @ . t> a l . l 1 J . J a l . l @ . h a
ታመጣልኛለህ	t4m1T4l6J4l1h6	t a . m @ . t> a l . l 1 J . J a l . l @ h
ታመጫለሽ	t4m1C4l1sh6	t a . m @ . tS> a l . l @ S
ታሙ	t4m2	t a m . m u
ታማ	t4m4	t a m . m a
ታማለች	t4m4l1c6	t a m . m a l . l @ tS tS	t a . m a . l @ tS tS
ታማራለህ	t4m4r4l1h6	t a m . m a . r a l . l @ h
ታማኝ	t4m4J6	t a m . m a J J
ታሜ	t4m5	t a m . m e
ታምሚያለሁኝ	t4m6m3y4l1h2J6	t a . m 1 m . m i . j a l . l @ . h u J J
ታምሩ	t4m6r2	t a m . m 1 . r u
ታምራለች	t4m6r4l1c6	t a m . r a l . l @ tS tS
ታምራት	t4m6r4t6	t a m . m 1 . r a t
ታምራትን	t4m6r4t6n6	t a m . m 1 . r a . t 1 n
ታምኝኛለሽ	t4m6J6J4l1sh6	t a m . J 1 J . J a l . l @ S
ታምጣልሽ	t4m6T4l6sh6	t a m . t> a l . l 1 S
ታሟሊያለሽ	t4mw4l3y4l1sh6	t a mw . mw a l . l i . j a l . l @ S
ታረቃችሁ	t4r1K4c6h2	t a r . r @ . k> a tS . tS 1 . h u
ታረቅን	t4r1K6n6	t a r . r @ . k> 1 n
ታረኩኝ	t4r1k2J6	t a r . r @ k . k u J J
ታረጊያለሽ	t4r1g3y4l1sh6	t a . r @ . g i . j a l . l @ S
ታረጊያት	t4r1g3y4t6	t a . r @ . g i . j a t
ታሪኩ	t4r3k2	t a . r i . k u
ታሪኮች	t4r3k7c6	t a . r i . k o tS tS
ታርሷል	t4r6sw4l6	t a r . sw a l
ታርዶ	t4r6d7	t a r . d o
ታሳምናት	t4s4m6n4t6	t a . s a m . m 1 . n a t
ታሳስቻለሽ	t4s4s6c4l1sh6	t a s . s a . s 1 . tS a l . l @ S
ታሳቢ	t4s4b3	t a s . s a . b i
ታሳውቀኛለች	t4s4w6K1J4l1c6	t a . s a w . w 1 . k> @ J . J a l . l @ tS tS
ታሳውቅሻለች	t4s4w6K6sh4l1c6	t a . s a w . w 1 . k> 1 . S a l . l @ tS tS
ታሳዝናለች	t4s4z6n4l1c6	t a . s a z . z 1 . n a l . l @ tS tS
ታሳዝንሻለች	t4s4z6n6sh4l1c6	t a . s a z . z 1 . n 1 . S a l . l @ tS tS
ታሳያታለሽ	t4s4y4t4l1sh6	t a . s a j . j a . t a l . l @ S
ታሳይኛለሽ	t4s4y6J4l1sh6	t a . s a j . j 1 J . J a l . l @ S
ታሳድጉታላችሁ	t4s4d6g2t4l4c6h2	t a . s a d . d 1 . g u . t a l . l a tS . tS 1 . h u
ታስመዘግባለህ	t4s6m1z1g6b4l1h6	t a s . m @ . z @ g . g 1 . b a l . l @ h
ታስረዋለች	t4s6r1w4l1c6	t a s . r @ . w a l . l @ tS tS
ታስረው	t4s6r1w6	t a s . r @ w
ታስሯል	t4s6rw4l6	t a s . rw a l
ታስቀምጥ	t4s6K1m6T6	t a s . k> @ m . m 1 t>
ታስቀምጥልኝ	t4s6K1m6T6l6J6	t a s . k> @ m . m 1 . t> 1 l . l 1 J J
ታስቀምጫለሽ	t4s6K1m6C4l1sh6	t a s . k> @ m . m 1 . tS> a l . l @ S
ታስቀይራለች	t4s6K1y6r4l1c6	t a s . k> @ j . j 1 . r a l . l @ tS tS
ታስቀድም	t4s6K1d6m6	t a s . k> @ d . d 1 m
ታስቂኛለሽ	t4s6K3J4l1sh6	t a s . s 1 . k> i J . J a l . l @ S
ታስቃለች	t4s6K4l1c6	t a s . s 1 . k> a l . l @ tS tS
ታስቢያለሽ	t4s6b3y4l1sh6	t a s . s 1 . b i . j a l . l @ S
ታስባለህ	t4s6b4l1h6	t a s . s 1 . b a l . l @ h
ታስባለች	t4s6b4l1c6	t a s . s 1 . b a l . l @ tS tS
ታስቦ	t4s6b7	t a s . s 1 . b o
ታስቦኮ	t4s6b7k7	t a s . s 1 . b o k . k o
ታስተካክያለሽ	t4s6t1k4k6y4l1sh6	t a s . t @ . k a k . k 1 . j a l . l @ S
ታስታምማለች	t4s6t4m6m4l1c6	t a s . t a m . m 1 . m a l . l @ tS tS
ታስታርቁናላችሁ	t4s6t4r6K2n4l4c6h2	t a s . t a r . r 1 . k> u . n a l . l a tS . tS 1 . h u
ታስታርቂኛለሽ	t4s6t4r6K3J4l1sh6	t a s . t a r . r 1 . k> i J . J a l . l @ S
ታስታውሳለህ	t4s6t4w6s4l1h6	t a s . t a w . w 1 . s a l . l @ h
ታስታውሳታለህ	t4s6t4w6s4t4l1h6	t a s . t a w . w 1 . s a . t a l . l @ h
ታስታውሻለሽ	t4s6t4w6sh4l1sh6	t a s . t a w . w 1 . S a l . l @ S
ታስታውቃለች	t4s6t4w6K4l1c6	t a s . t a w . w 1 . k> a l . l @ tS tS
ታስገቢዋለሽ	t4s6g1b3w4l1sh6	t a s . g @ b . b i . w a l . l @ S
ታስገባላችሁ	t4s6g1b4l4c6h2	t a s . g @ b . b a l . l a tS . tS 1 . h u
ታስጠሊኛለሽ	t4s6T1l3J4l1sh6	t a s . t> @ l . l i J . J a l . l @ S
ታስፈልገኛለህ	t4s6f1l6g1J4l1h6	t a s . f @ l . l 1 . g @ J . J a l . l @ h
ታስፈልግሀለች	t4s6f1l6g6h1l1c6	t a s . f @ l . l 1 . g 1 . h a l . l @ tS tS
ታስፈልግናለች	t4s6f1l6g6n4l1c6	t a s . f @ l . l 1 . g 1 n . n a l . l @ tS tS
ታስፈራ	t4s6f1r4	t a s . f @ r . r a
ታስፈራለች	t4s6f1r4l1c6	t a s . f @ r . r a l . l @ tS tS
