<hes>	a:6
syu1yau5	s y:1 j 6w5
syu1seng2	s y:1 s E:2 N
syu1fong4	s y:1 f O:4 N
syu1bun2	s y:1 b u:2 n
syu1faat3baan1	s y:1 f a:3 t b a:1 n
syu1jing3	s y:1 dz i:3 N
syu1gun2	s y:1 g u:2 n
maai5	m a:j5
maai5ga3	m a:j5 g a:3
maai5ha2	m a:j5 h a:2
maai5ha2ye5	m a:j5 h a:2 j E:5
maai5syu1je1	m a:j5 s y:1 dz E:1
maai5chan1ye5	m a:j5 ts 61 n j E:5
maai5yap6	m a:j5 j 66 p
maai5dou3	m a:j5 d ow3
maai5dou2choi3	m a:j5 d ow2 ts O:j3
maai5daan1	m a:j5 d a:1 n
maai5maai6	m a:j5 m a:j6
maai5m4maai5	m a:j5 m4 m a:j5
maai5m4maai5dak1	m a:j5 m4 m a:j5 d 61 k
maai5m4maai5ye5	m a:j5 m4 m a:j5 j E:5
maai5m4dou3	m a:j5 m4 d ow3
maai5m4hei2	m a:j5 m4 h ej2
maai5di1sung3	m a:j5 d i:1 s u:3 N
maai5lei4maai5heui3	m a:j5 l ej4 m a:j5 h 9y3
maai5cho5	m a:j5 ts O:5
maai5maai4	m a:j5 m a:j4
maai5tau4dang2	m a:j5 t 6w4 d 62 N
maai5yun4ye5	m a:j5 j y:4 n j E:5
maai5yun4sung3	m a:j5 j y:4 n s u:3 N
maai5ding6	m a:j5 d i:6 N
maai5ding6ding6	m a:j5 d i:6 N d i:6 N
maai5jo2yuk6	m a:j5 dz O:2 j y:6 k
maai5jo2choi3	m a:j5 dz O:2 ts O:j3
maai5jo2faan2heui3	m a:j5 dz O:2 f a:2 n h 9y3
maai5jo2ye5	m a:j5 dz O:2 j E:5
maai5dou6	m a:j5 d ow6
maai5hoi1	m a:j5 h O:j1
maai5dak1dou3	m a:j5 d 61 k d ow3
maai5dak1hei2	m a:j5 d 61 k h ej2
maai5mun5	m a:j5 m u:5 n
maai5dik1	m a:j5 d i:1 k
maai5piu3	m a:j5 p iw3
maai5choi3	m a:j5 ts O:j3
maai5fo3	m a:j5 f O:3
maai5che1	m a:j5 ts E:1
maai5faan1	m a:j5 f a:1 n
maai5faan1lai4	m a:j5 f a:1 n l 6j4
maai5jau2	m a:j5 dz 6w2
maai5ye5	m a:j5 j E:5
maai5haai4	m a:j5 h a:j4
maai5fei1	m a:j5 f ej1
maai5sung3	m a:j5 s u:3 N
lyun6	l y:6 n
lyun6chat1baat3jou1	l y:6 n ts 61 t b a:3 t dz ow1
lyun6ting4lyun6fong3	l y:6 n t i:4 N l y:6 n f O:3 N
lyun6dong2	l y:6 n d O:2 N
lyun6lai4	l y:6 n l 6j4
lyun6loi4	l y:6 n l O:j4
lyun6jou1jou1	l y:6 n dz ow1 dz ow1
lyun6gong2	l y:6 n g O:2 N
yu5jyu1	j y:5 dz y:1
yu5sin3jyun1fo1	j y:5 s i:3 n dz y:1 n f O:1
yu5sin3aam4	j y:5 s i:3 n a:4 m
yu5gap3	j y:5 g 63 p
yu5gaap3bou1	j y:5 g a:3 p b ow1
la2	l a:2
la2ying4	l a:2 j i:4 N
la2ying4hong1	l a:2 j i:4 N h O:1 N
liu5	l iw5
liu5o1	l iw5 O:1
liu5jo2	l iw5 dz O:2
liu5gaai2	l iw5 g a:j2
liu5gaai2ha5	l iw5 g a:j2 h a:5
jang1	dz 61 N
jang1gaau1	dz 61 N g a:w1
jang1jyu6	dz 61 N dz y:6
jang1dou3	dz 61 N d ow3
jang1cheui2	dz 61 N ts 9y2
jang1hek3	dz 61 N h E:3 k
jang1di1	dz 61 N d i:1
jang1lai4jang1heui3	dz 61 N l 6j4 dz 61 N h 9y3
jang1tin1gung6dei6	dz 61 N t i:1 n g u:6 N d ej6
jaang1dak1yun5	dz a:1 N d 61 k j y:5 n
jang1jaat3	dz 61 N dz a:3 t
jang1hei3	dz 61 N h ej3
jang1faan1	dz 61 N f a:1 n
jang1sik6	dz 61 N s i:6 k
si6	s i:6
si6yip6	s i:6 j i:6 p
si6yip6daan1wai2	s i:6 j i:6 p d a:1 n w 6j2
si6jyu2	s i:6 dz y:2
si6si6	s i:6 s i:6
si6gin2	s i:6 g i:2 n
si6lai6	s i:6 l 6j6
si6sin1	s i:6 s i:1 n
si6chin4	s i:6 ts i:4 n
si6faat3dei6	s i:6 f a:3 t d ej6
si6hau6	s i:6 h 6w6
si6tau4	s i:6 t 6w4
si6sat6	s i:6 s 66 t
si6sat6seung6	s i:6 s 66 t s 9:6 N
si6ching4	s i:6 ts i:4 N
si6gu3	s i:6 g u:3
si6jik1	s i:6 dz i:1 k
yi6	j i:6
yi6ei1	j i:6 ej1
yi6di1	j i:6 d i:1
yi6ji1	j i:6 dz i:1
yi6saam1sap6maan6	j i:6 s a:1 m s 66 p m a:6 n
yi6jung1	j i:6 dz u:1 N
yi6jai2	j i:6 dz 6j2
yi6baat3	j i:6 b a:3 t
yi6sap6	j i:6 s 66 p
yi6a6yat1	j i:6 a:6 j 61 t
yi6a6chat1hou2	j i:6 a:6 ts 61 t h ow2
yi6a6maan6	j i:6 a:6 m a:6 n
yi6a6saam1	j i:6 a:6 s a:1 m
yi6a6saam1hou2	j i:6 a:6 s a:1 m h ow2
yi6a6saam1ji1	j i:6 a:6 s a:1 m dz i:1
yi6a6gau2	j i:6 a:6 g 6w2
yi6a6yi6	j i:6 a:6 j i:6
yi6a6m5	j i:6 a:6 m5
yi6a6m5maan6	j i:6 a:6 m5 m a:6 n
yi6a6m5hou2	j i:6 a:6 m5 h ow2
yi6a6baat3	j i:6 a:6 b a:3 t
yi6a6baat3hou2	j i:6 a:6 b a:3 t h ow2
yi6a6luk6	j i:6 a:6 l u:6 k
yi6a6luk6hou2	j i:6 a:6 l u:6 k h ow2
yi6a6gei2	j i:6 a:6 g ej2
yi6a6gei2hou6	j i:6 a:6 g ej2 h ow6
yi6a6hou2	j i:6 a:6 h ow2
yi6a6sei3	j i:6 a:6 s ej3
yi6a6sei3hou2	j i:6 a:6 s ej3 h ow2
yi6a6yat6	j i:6 a:6 j 66 t
yi6chin1	j i:6 ts i:1 n
yi6chin1nin2	j i:6 ts i:1 n n i:2 n
yi6hou2	j i:6 h ow2
yi6hou2sin3	j i:6 h ow2 s i:3 n
yi6hou2mun4	j i:6 h ow2 m u:4 n
yi6go1	j i:6 g O:1
yi6jeung2	j i:6 dz 9:2 N
yi6laai5	j i:6 l a:j5
yi6jyu1	j i:6 dz y:1
yi6je2	j i:6 dz E:2
yi6sam2	j i:6 s 62 m
yi6nin4kap1	j i:6 n i:4 n k 61 p
yi6sau2	j i:6 s 6w2
yi6sau2gei1	j i:6 s 6w2 g ej1
yi6sau2lau2	j i:6 s 6w2 l 6w2
yi6sau2yin1	j i:6 s 6w2 j i:1 n
yi6sau2che1	j i:6 s 6w2 ts E:1
yi6yut6	j i:6 j y:6 t
yi6yut6fan6	j i:6 j y:6 t f 66 n
yi6yut6cho1	j i:6 j y:6 t ts O:1
yi6lau5	j i:6 l 6w5
yi6sa1dou2	j i:6 s a:1 d ow2
yi6sa1dou2fan1yun4	j i:6 s a:1 d ow2 f 61 n j y:4 n
yi6waan4	j i:6 w a:4 n
yi6baan1	j i:6 b a:1 n
yi6baak3	j i:6 b a:3 k
yi6dang2	j i:6 d 62 N
yi6dang2jeung2	j i:6 d 62 N dz 9:2 N
yi6kap1	j i:6 k 61 p
yi6sin3	j i:6 s i:3 n
yi6man1jai2	j i:6 m 61 n dz 6j2
yi6wa2bat1syut3	j i:6 w a:2 b 61 t s y:3 t
yi6leng4yat1saam1lin4	j i:6 l E:4 N j 61 t s a:1 m l i:4 n
yi6leng4yat1yi6	j i:6 l E:4 N j 61 t j i:6
yi6ling4ling4yat1nin4	j i:6 l i:4 N l i:4 N j 61 t n i:4 n
yi6leng4leng4yi6nin4	j i:6 l E:4 N l E:4 N j i:6 n i:4 n
yi6leng4leng4baat3nin4	j i:6 l E:4 N l E:4 N b a:3 t n i:4 n
yi6faan6	j i:6 f a:6 n
yu1	j y:1
yu1si6	j y:1 s i:6
kwai1	kw 6j1
kwai1sing4	kw 6j1 s i:4 N
wan4	w 64 n
wan4dung1hoi2	w 64 n d u:1 N h O:j2
wan4gong1	w 64 n g O:1 N
wan4laam4	w 64 n l a:4 m
wan4laam4toi4	w 64 n l a:4 m t O:j4
wan4laam4tung1	w 64 n l a:4 m t u:1 N
wan4tan1	w 64 n t 61 n
wan4tan1min2	w 64 n t 61 n m i:2 n
wan4gong1	w 64 n g O:1 N
wan4mok6chyun1	w 64 n m O:6 k ts y:1 n
wan4loi4	w 64 n l O:j4
wan4loi4leui5	w 64 n l O:j4 l 9y5
wan4fau4	w 64 n f 6w4
wan4gong2	w 64 n g O:2 N
wan4yi5	w 64 n j i:5
wan4deng2	w 64 n d E:2 N
wu6seung1	w u:6 s 9:1 N
wu6lyun4mong5	w u:6 l y:4 n m O:5 N
m5	m5
m5di1	m5 d i:1
m5yat1	m5 j 61 t
m5maan6	m5 m a:6 n
m5saam1lin4	m5 s a:1 m l i:4 n
m5sap6	m5 s 66 p
m5a6yat1	m5 a:6 j 61 t
m5a6chat1	m5 a:6 ts 61 t
m5sap6maan6	m5 s 66 p m a:6 n
m5a6gau2	m5 a:6 g 6w2
m5a6yi6	m5 a:6 j i:6
m5a6m5	m5 a:6 m5
m5a6fan6	m5 a:6 f 66 n
m5a6baat3	m5 a:6 b a:3 t
m5a6luk6	m5 a:6 l u:6 k
m5sap6gei2	m5 s 66 p g ej2
m5a6sei3	m5 a:6 s ej3
m5chin1	m5 ts i:1 n
m5chin1sei3	m5 ts i:1 n s ej3
m5toi4saan1	m5 t O:j4 s a:1 n
m5yip6san4	m5 j i:6 p s 64 n
m5hou6	m5 h ow6
m5go1	m5 g O:1
m5gau6seui2	m5 g 6w6 s 9y2
m5yi1	m5 j i:1
m5gun1	m5 g u:1 n
m5lin4kap1	m5 l i:4 n k 61 p
m5ya6yi6	m5 j a:6 j i:6
m5ya6baat3	m5 j a:6 b a:3 t
m5sing4	m5 s i:4 N
m5jit3	m5 dz i:3 t
m5ji2	m5 dz i:2
m5yat6	m5 j 66 t
m5yat6la1	m5 j 66 t l a:1
m5sing1kap1	m5 s i:1 N k 61 p
m5yut6	m5 j y:6 t
m5yut6fan6	m5 j y:6 t f 66 n
m5yut6fa1	m5 j y:6 t f a:1
m5yut6fa1gong2cheung4	m5 j y:6 t f a:1 g O:2 N ts 9:4 N
m5bui1o4	m5 b u:j1 O:4
m5hou4ji2	m5 h ow4 dz i:2
m5baak3	m5 b a:3 k
m5baak3maan6	m5 b a:3 k m a:6 n
m5leung4yit6	m5 l 9:4 N j i:6 t
m5yeung4	m5 j 9:4 N
m5yeung4sing4	m5 j 9:4 N s i:4 N
m5yeung4gong2cheung4	m5 j 9:4 N g O:2 N ts 9:4 N
m5yeung4san1sing4	m5 j 9:4 N s 61 n s i:4 N
m5yeung4diu1jeung6	m5 j 9:4 N d iw1 dz 9:6 N
m5gok3ying4	m5 g O:3 k j i:4 N
m5gok3sing1	m5 g O:3 k s i:1 N
m5jeung6gong2cheung4	m5 dz 9:6 N g O:2 N ts 9:4 N
m5gam1	m5 g 61 m
m5gam1dim3	m5 g 61 m d i:3 m
m5yam1bat1chyun4	m5 j 61 m b 61 t ts y:4 n
jeng2	dz E:2 N
a3gin6hong1	a:3 g i:6 n h O:1 N
a3taai3	a:3 t a:j3
a3jau1	a:3 dz 6w1
a3si6	a:3 s i:6
se1siu2	s E:1 s iw2
se1siu2	s E:1 s iw2
gong1	g O:1 N
gaau1	g a:w1
gaau1doi6	g a:w1 d O:j6
gaau1gwaan1	g a:w1 gw a:1 n
gaau1dou3	g a:w1 d ow3
gaau1heui3	g a:w1 h 9y3
gaau1cha1	g a:w1 ts a:1
gaau1heung2kuk1	g a:w1 h 9:2 N k u:1 k
gaau1maai4	g a:w1 m a:j4
gaau1wai2	g a:w1 w 6j2
gaau1jo2	g a:w1 dz O:2
gaau1jo2chin2	g a:w1 dz O:2 ts i:2 n
gaau1doi6	g a:w1 d O:j6
gaau1ching4	g a:w1 ts i:4 N
gaau1wun6	g a:w1 w u:6 n
gaau1jip3	g a:w1 dz i:3 p
gaau1yik6	g a:w1 j i:6 k
gaau1yik6wui2	g a:w1 j i:6 k w u:j2
gaau1haau6	g a:w1 h a:w6
gaau1fun2daan1	g a:w1 f u:2 n d a:1 n
gaau1lau4	g a:w1 l 6w4
gaau1lau4ha2	g a:w1 l 6w4 h a:2
gaau1lau4wui5	g a:w1 l 6w4 w u:j5
gaau1lau4din6	g a:w1 l 6w4 d i:6 n
gaau1bei2	g a:w1 b ej2
gaau1gaai3	g a:w1 g a:j3
gaau1gaai3chyu2	g a:w1 g a:j3 ts y:2
gaau1jou1	g a:w1 dz ow1
gaau1seui3	g a:w1 s 9y3
gaau1gun2so2	g a:w1 g u:2 n s O:2
gaau1ging2	g a:w1 g i:2 N
gaau1fai3	g a:w1 f 6j3
gaau1tung1	g a:w1 t u:1 N
gaau1tung1fai3	g a:w1 t u:1 N f 6j3
gaau1chin2	g a:w1 ts i:2 n
gaau1jai3	g a:w1 dz 6j3
gaau1chai4	g a:w1 ts 6j4
yik6	j i:6 k
yik6dou1	j i:6 k d ow1
chaan2yip6	ts a:2 n j i:6 p
chaan2ban2	ts a:2 n b 62 n
chaan2ban2so2	ts a:2 n b 62 n s O:2
chaan2dei6	ts a:2 n d ej6
chaan2gim2	ts a:2 n g i:2 m
chaan2sang1	ts a:2 n s 61 N
chaan2leung6	ts a:2 n l 9:6 N
hang1	h 61 N
heung2	h 9:2 N
heung2sau6	h 9:2 N s 6w6
heung2sau6ying4	h 9:2 N s 6w6 j i:4 N
ging1	g i:1 N
ting4	t i:4 N
ting4toi4lau5gok3	t i:4 N t O:j4 l 6w5 g O:3 k
chan1	ts 61 n
chan1hau2	ts 61 n h 6w2
chan1chik1	ts 61 n ts i:1 k
chan1sau2	ts 61 n s 6w2
chan1yit6	ts 61 n j i:6 t
chan1wong4	ts 61 n w O:4 N
chan1bat1	ts 61 n b 61 t
chan1ji6	ts 61 n dz i:6
yan4	j 64 n
yan4yat1sai3mat6yat1sai3	j 64 n j 61 t s 6j3 m 66 t j 61 t s 6j3
yan4wai4	j 64 n w 6j4
yan4ji1cho1	j 64 n dz i:1 ts O:1
yan4ji1seung4ching4	j 64 n dz i:1 s 9:4 N ts i:4 N
yan4si6	j 64 n s i:6
yan4si6gwaan1hai6	j 64 n s i:6 gw a:1 n h 6j6
yan4si6guk6	j 64 n s i:6 g u:6 k
yan4si6si5cheung4	j 64 n s i:6 s i:5 ts 9:4 N
yan4yan4	j 64 n j 64 n
yan4jai2	j 64 n dz 6j2
yan4tai2	j 64 n t 6j2
yan4lik6	j 64 n l i:6 k
yan4lik6ji1yun4	j 64 n l i:6 k dz i:1 j y:4 n
yan4sam1	j 64 n s 61 m
yan4hau2	j 64 n h 6w2
yan4ho2lang4	j 64 n h O:2 l 64 N
yan4gok3yau5ji3	j 64 n g O:3 k j 6w5 dz i:3
yan4meng2	j 64 n m E:2 N
yan4a4	j 64 n a:4
yan4yun4	j 64 n j y:4 n
yan4ban2	j 64 n b 62 n
yan4m4	j 64 n m4
yan4hai2	j 64 n h 6j2
yan4dei6	j 64 n d ej6
yan4dei6yi1yun2dik6yan4	j 64 n d ej6 j i:1 j y:2 n d i:6 k j 64 n
yan4dei6bei2jo2	j 64 n d ej6 b ej2 dz O:2
yan4cheung4	j 64 n ts 9:4 N
yan4si6	j 64 n s i:6
yan4do1	j 64 n d O:1
yan4tau4	j 64 n t 6w4
yan4tau4yung2yung2	j 64 n t 6w4 j y:2 N j y:2 N
yan4yiu2	j 64 n j iw2
yan4ga1	j 64 n g a:1
yan4saan1yan4hoi2	j 64 n s a:1 n j 64 n h O:j2
yan4gung1	j 64 n g u:1 N
yan4gung1wu4	j 64 n g u:1 N w u:4
yan4sing3	j 64 n s i:3 N
yan4ching4	j 64 n ts i:4 N
yan4ching4mei6	j 64 n ts i:4 N m ej6
yan4sau2	j 64 n s 6w2
yan4choi4si5cheung4	j 64 n ts O:j4 s i:5 ts 9:4 N
yan4sou3	j 64 n s ow3
yan4man4	j 64 n m 64 n
yan4man4yi1yun2	j 64 n m 64 n j i:1 j y:2 n
yan4man4bai6	j 64 n m 64 n b 6j6
yan4man4bai6	j 64 n m 64 n b 6j6
yan4man4kiu4	j 64 n m 64 n k iw4
yan4man4lou6	j 64 n m 64 n l ow6
yan4lau4	j 64 n l 6w4
yan4lau4leung6	j 64 n l 6w4 l 9:6 N
yan4mat6	j 64 n m 66 t
yan4sang1	j 64 n s 61 N
yan4hai6	j 64 n h 6j6
yan4kwan4	j 64 n kw 64 n
yan4geuk3	j 64 n g 9:3 k
yan4hang4	j 64 n h 64 N
yan4hang4dou6	j 64 n h 64 N d ow6
yan4yiu3	j 64 n j iw3
yan4jau2cha4leung4	j 64 n dz 6w2 ts a:4 l 9:4 N
yan4san1bou2him2	j 64 n s 61 n b ow2 h i:2 m
yan4jou3	j 64 n dz ow3
yan4jai3gwaan1hai6	j 64 n dz 6j3 gw a:1 n h 6j6
yik1	j i:1 k
yik1ga1	j i:1 k g a:1
yik1baak3	j i:1 k b a:3 k
sam6mo1	s 66 m m O:1
yan4	j 64 n
yan4wo4jaam6	j 64 n w O:4 dz a:6 m
yan4sau6ji6	j 64 n s 6w6 dz i:6
yan4sau6chi4	j 64 n s 6w6 ts i:4
yan4ji3yi6jeun6	j 64 n dz i:3 j i:6 dz 9:6 n
puk1	p u:1 k
chau4ga1	ts 6w4 g a:1
gam1	g 61 m
gam1jau1	g 61 m dz 6w1
gam1ye6	g 61 m j E:6
gam1tin1	g 61 m t i:1 n
gam1gwai3	g 61 m gw 6j3
gam1lin4	g 61 m l i:4 n
gam1yat6	g 61 m j 66 t
gam1yat6yat1sin3	g 61 m j 66 t j 61 t s i:3 n
gam1jou2	g 61 m dz ow2
gam1maan5	g 61 m m a:5 n
gam1maan5a1	g 61 m m a:5 n a:1
gam1maan5hak1	g 61 m m a:5 n h 61 k
gam1yut6	g 61 m j y:6 t
gam1jiu1	g 61 m dz iw1
gam1jiu1tau4jou2	g 61 m dz iw1 t 6w4 dz ow2
gam1jiu1jou2	g 61 m dz iw1 dz ow2
gam1chi3	g 61 m ts i:3
gaai3	g a:j3
gaai3yap6	g a:j3 j 66 p
gaai3yi3	g a:j3 j i:3
gaai3siu6	g a:j3 s iw6
gaai3siu6ha5	g a:j3 s iw6 h a:5
ying4jyu6	j i:4 N dz y:6
ying4yin4	j i:4 N j i:4 n
chung4	ts u:4 N
chung4yip6	ts u:4 N j i:6 p
chung4yip6ji1gaak3jing3	ts u:4 N j i:6 p dz i:1 g a:3 k dz i:3 N
chung4si6	ts u:4 N s i:6
chung4loi4	ts u:4 N l O:j4
chung4fa3	ts u:4 N f a:3
chung4lai4	ts u:4 N l 6j4
chung4tau4	ts u:4 N t 6w4
chung4tau4dou3mei5	ts u:4 N t 6w4 d ow3 m ej5
chung4loi4	ts u:4 N l O:j4
chung4sai3dou3daai6	ts u:4 N s 6j3 d ow3 d a:j6
chong1	ts O:1 N
chong1chuk1	ts O:1 N ts u:1 k
chong1fu3	ts O:1 N f u:3
chong1syun4	ts O:1 N s y:4 n
chong1bin1lou6	ts O:1 N b i:1 n l ow6
jai2	dz 6j2
jai2la2	dz 6j2 l a:2
jai4jai2	dz 6j4 dz 6j2
jai2daai6jai2sai3gaai3	dz 6j2 d a:j6 dz 6j2 s 6j3 g a:j3
jai2leui2	dz 6j2 l 9y2
jai2ye4	dz 6j2 j E:4
ta1	t a:1
ta1tiu4	t a:1 t iw4
fu6	f u:6
fu6jeun3git6	f u:6 dz 9:3 n g i:6 t
fu6cheut1	f u:6 ts 9:1 t
fu6maai4	f u:6 m a:j4
fu6fun2	f u:6 f u:2 n
fu6fai3	f u:6 f 6j3
fu6chin2	f u:6 ts i:2 n
sin1	s i:1 n
sin1yan4	s i:1 n j 64 n
sin1gim3m5	s i:1 n g i:3 m m5
sin1gim3sei3	s i:1 n g i:3 m s ej3
sin1leui5	s i:1 n l 9y5
sin1jung1lam4	s i:1 n dz u:1 N l 64 m
doi6	d O:j6
doi6gau1	d O:j6 g 6w1
doi6baan1	d O:j6 b a:1 n
doi6lei5	d O:j6 l ej5
doi6lok6doi6	d O:j6 l O:6 k d O:j6
doi6biu2	d O:j6 b iw2
doi6kau3kei5yip6	d O:j6 k 6w3 k ej5 j i:6 p
ling6	l i:6 N
ling6dou3	l i:6 N d ow3
ling6jyun1yung1	l i:6 N dz y:1 n j y:1 N
yi5	j i:5
yi5seung6	j i:5 s 9:6 N
yi5ha6	j i:5 h a:6
yi5wai4	j i:5 w 6j4
yi5loi6	j i:5 l O:j6
yi5chin4	j i:5 ts i:4 n
yi5hau6	j i:5 h 6w6
yi5wong5	j i:5 w O:5 N
yi5gau6wun6san1	j i:5 g 6w6 w u:6 n s 61 n
yi5a4waan4a4	j i:5 a:4 w a:4 n a:4
sam1	s 61 m
yi4	j i:4
yi4hei3	j i:4 h ej3
yi4sik1	j i:4 s i:1 k
jung6	dz u:6 N
jung6ga1	dz u:6 N g a:1
jung6cheun1	dz u:6 N ts 9:1 n
jung6yau5	dz u:6 N j 6w5
jung6mei6	dz u:6 N m ej6
jung6hai6	dz u:6 N h 6j6
jung6yiu3	dz u:6 N j iw3
gin6	g i:6 n
gin6si6	g i:6 n s i:6
gin6sok3	g i:6 n s O:3 k
ga3	g a:3
ga3wai2	g a:3 w 6j2
ga3jik6	g a:3 dz i:6 k
ga3tau4	g a:3 t 6w4
ga3gaak3	g a:3 g a:3 k
ga3chin4	g a:3 ts i:4 n
yam6	j 66 m
yam6ho4	j 66 m h O:4
yam6pang6	j 66 m p 66 N
yam6mou6	j 66 m m ow6
yam6mou6	j 66 m m ow6
yam6sing3	j 66 m s i:3 N
yam6yin4chai4	j 66 m j i:4 n ts 6j4
fan6	f 66 n
fan6seung6	f 66 n s 9:6 N
fan6fan6	f 66 n f 66 n
fong2	f O:2 N
kei5	k ej5
kei5ha2	k ej5 h a:2
kei5yip6	k ej5 j i:6 p
kei5yip6jaai3	k ej5 j i:6 p dz a:j3
kei5yip6bou6	k ej5 j i:6 p b ow6
kei5dou3	k ej5 d ow3
kei5ding6	k ej5 d i:6 N
kei5dak1	k ej5 d 61 k
kei5loi4	k ej5 l O:j4
kei5lei5	k ej5 l ej5
kei5ngo4	k ej5 N O:4
yi1wan4si1	j i:1 w 64 n s i:1
yi1wan4si1	j i:1 w 64 n s i:1
yi1lei6	j i:1 l ej6
yi1wa4	j i:1 w a:4
yi1wa2	j i:1 w a:2
yi1la1hak1	j i:1 l a:1 h 61 k
yi1long5	j i:1 l O:5 N
yi1min6	j i:1 m i:6 n
m5	m5
m5lai6ling4	m5 l 6j6 l i:4 N
m5ban1	m5 b 61 n
m5ai6	m5 6j6
fuk6	f u:6 k
fuk6gik1	f u:6 k g i:1 k
yau1	j 6w1
yau1ha5	j 6w1 h a:5
yau1ha5sik1	j 6w1 h a:5 s i:1 k
yau1ga3	j 6w1 g a:3
yau1yeung5	j 6w1 j 9:5 N
yau1yeung5fui1fuk6	j 6w1 j 9:5 N f u:j1 f u:6 k
yau1dou3sik1	j 6w1 d ow3 s i:1 k
yau1m4yau1	j 6w1 m4 j 6w1
yau1m4yau1dou3	j 6w1 m4 j 6w1 d ow3
yau1m4yau1sik1	j 6w1 m4 j 6w1 s i:1 k
yau1m4dou3sik1	j 6w1 m4 d ow3 s i:1 k
yau1saai3sik1	j 6w1 s a:j3 s i:1 k
yau1maai4	j 6w1 m a:j4
yau1jo2sik1	j 6w1 dz O:2 s i:1 k
yau1lin2ga3	j 6w1 l i:2 n g a:3
yau1sik1	j 6w1 s i:1 k
yau1sik1ha5	j 6w1 s i:1 k h a:5
yau1sik1yat6	j 6w1 s i:1 k j 66 t
yau1jing2	j 6w1 dz i:2 N
yau1go3sik1	j 6w1 g O:3 s i:1 k
yau1faan2	j 6w1 f a:2 n
yau1haan4	j 6w1 h a:4 n
yau1sin1	j 6w1 s i:1 n
yau1sai3	j 6w1 s 6j3
yau1joi1yau4joi1	j 6w1 dz O:j1 j 6w4 dz O:j1
yau1m4yau1wai6	j 6w1 m4 j 6w1 w 6j6
yau1wai6	j 6w1 w 6j6
yau1wai6ga3	j 6w1 w 6j6 g a:3
yau1wai6gyun3	j 6w1 w 6j6 g y:3 n
yau1man5	j 6w1 m 65 n
yau1dim2	j 6w1 d i:2 m
yau1pun4	j 6w1 p u:4 n
yau1mei5	j 6w1 m ej5
yau1sing3	j 6w1 s i:3 N
fo2	f O:2
fo2gei3	f O:2 g ej3
fo2sik6	f O:2 s i:6 k
fo2sik6fai3	f O:2 s i:6 k f 6j3
wui5	w u:j5
wui5bat1wui5	w u:j5 b 61 t w u:j5
wui2yun4	w u:j2 j y:4 n
wui2yun4ga3	w u:j2 j y:4 n g a:3
wui2yun4ka1	w u:j2 j y:4 n k a:1
wui5m4wui5	w u:j5 m4 w u:j5
wui5cheung4	w u:j5 ts 9:4 N
wui5sing2a5hin1	w u:j5 s i:2 N a:5 h i:1 n
wui6jin2	w u:j6 dz i:2 n
wui5so2	w u:j5 s O:2
wui6gai3	w u:j6 g 6j3
wui6gai3syu1	w u:j6 g 6j3 s y:1
wui6gai3si1	w u:j6 g 6j3 s i:1
wui6gai3si1jing3	w u:j6 g 6j3 s i:1 dz i:3 N
wui6gai3jing3	w u:j6 g 6j3 dz i:3 N
wui6yi5	w u:j6 j i:5
wui5chan2	w u:j5 ts 62 n
wui6fai3	w u:j6 f 6j3
saan3	s a:3 n
wai5	w 6j5
wai5jai2	w 6j5 dz 6j2
wai5wa4	w 6j5 w a:4
wai5go1	w 6j5 g O:1
wai5daai6	w 6j5 d a:j6
wai5keung5	w 6j5 k 9:5 N
wai5loi4	w 6j5 l O:j4
wai5fo1	w 6j5 f O:1
wai5hung4	w 6j5 h u:4 N
chyun4	ts y:4 n
chyun4dung6	ts y:4 n d u:6 N
chyun4daan1	ts y:4 n d a:1 n
chyun4jo2	ts y:4 n dz O:2
chyun4hoi1	ts y:4 n h O:j1
chyun4sau6	ts y:4 n s 6w6
chyun4yin5	ts y:4 n j i:5 n
chyun4jan1	ts y:4 n dz 61 n
chyun4jan1gei1	ts y:4 n dz 61 n g ej1
chyun4jan1ji2	ts y:4 n dz 61 n dz i:2
chyun4tung2	ts y:4 n t u:2 N
chyun4syu1	ts y:4 n s y:1
chyun4sung3	ts y:4 n s u:3 N
chyun4man4	ts y:4 n m 64 n
seung1	s 9:1 N
seung1bat1hei2	s 9:1 N b 61 t h ej2
seung1sai3	s 9:1 N s 6j3
seung1hau2	s 9:1 N h 6w2
seung1hoi6	s 9:1 N h O:j6
seung1sam1	s 9:1 N s 61 m
seung1san1	s 9:1 N s 61 n
leun4	l 9:4 n
leun4lei5	l 9:4 n l ej5
baak3	b a:3 k
baak3mou5	b a:3 k m ow5
baak3ye1gung1	b a:3 k j E:1 g u:1 N
baak3ye1po4	b a:3 k j E:1 p O:4
gu2	g u:2
gu2ha2	g u:2 h a:2
gu2ga3	g u:2 g a:3
gu2dou3	g u:2 d ow3
gu2m4dou3	g u:2 m4 d ow3
gu2hon4	g u:2 h O:4 n
gu2gai3	g u:2 g 6j3
gu2cho3	g u:2 ts O:3
bun6	b u:6 n
bun6leung4	b u:6 n l 9:4 N
bun6leung4jong1	b u:6 n l 9:4 N dz O:1 N
bun6long4	b u:6 n l O:4 N
ling4	l i:4 N
ling4ding1	l i:4 N d i:1 N
ling4lei6	l i:4 N l ej6
san1	s 61 n
san1jin2	s 61 n dz i:2 n
san1sau2	s 61 n s 6w2
chi5	ts i:5
chi5fu4	ts i:5 f u:4
